stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,pronephros
  5-6,14.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66
 60-70,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,3.48
 72-82,0,0,0,0,0,1.93,0,0,0,11.69,1.13,0,0,1.19,0,0,0,1.02
 84-94,0,1.16,0,5.6,0,0,0,0,0,17.51,0,0,0,0,0,0.74,0,4.11
 96-106,0,4.27,0.98,0,0,0,1.25,0,0,49.11,0,0,0,1.99,7.35,7.22,0.84,12.47
108-118,0,1.03,0.52,0,8.41,0,0.46,1.36,0,49.48,2.47,0.43,0,0,0,3.33,0,12.07
120,0,0,0,0,2.26,0,0,0,18.52,163.27,0,0,4.74,0,0,6.56,0,9.17
