stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,31.91,144.97,0,0,0,0,0,0,0,9.75,0
  5-6,0,95.13,0,0,0,0,0,0,0,11.07,0
  7-9,0,0,0,3.55,0,0,111.61,0,7.58,0,0
 10-12,0,0,3.04,0,0,0,44.59,0,0,0,0
 24-34,0,0,0,0,1.08,0,0,0,0,0,0
 36-46,0,0,0,0,2.07,0,0,0,0,0,0
 48-58,0,0,0,0,1.5,0.75,0.86,2.25,0,0,0
 60-70,0,0,0,16.89,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.49,0,0,0,0,0
 84-94,0,0,0,0,0,1.1,0,0,0,0,0.65
