stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,571.28,10660.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.84,0,0,0,0,0,0,0,0,0,0
  5-6,498.85,5790.13,0,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,89.87,0,0,0,41.47,0,46.48,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,9.51,0,8.75,0,0,0,30.51,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,443.19,15.76,0,0,105.2,0,0,58.37,0,0,0,0,0,0,0,0,0
 10-12,0,29.75,0,22.65,0,12.48,0,43.88,0,0,0,0,50.15,0,0,0,0,0,0,0,0,0,0,549.98,6.38,0,0,43.28,0,8.33,48.86,0,4.95,0,0,0,0,0,0,0
 14-21,0,0,1.05,3.99,27.7,0.93,0,15.71,0,0,3.23,3.32,4.35,0,0,2.78,0,0,0,6.1,0,0,10.59,269.33,7.92,0,5.43,2.65,0,60.09,1.89,14.37,1.78,1,75.36,0,0,1.02,0,0
 24-34,0,0,3.14,4.47,9.76,2.64,0,29.19,1.41,0.83,10.57,1.16,0,1.34,0,1.87,0,2.41,0.65,10.52,5.34,0.81,5.4,314.61,3.07,7.01,13.79,0,0,41.4,0,0,6.11,0.62,76.41,0,0,16.87,0,0
 36-46,0,0,0.85,0,2.48,0,0,27.19,0,0,18.1,0.72,0,3.19,3.21,0.6,0,4.45,0,17.77,3.12,0.95,2.58,253.99,0,8.38,7.48,0,0,37.18,0.78,0,22.22,0,52.75,0,1.04,7.5,0,2.18
 48-58,0,0,0,0,11.22,5.84,0,34.05,0,0,19.55,2.4,0.37,0,0,0,0,2.15,0.39,39.11,3.93,0.86,2.27,102.59,4.17,1.37,4.61,0,0.56,40.79,0,0,2.54,0,25.25,0,0.84,4.78,0,0
 60-70,0,0,0,0,12.71,0,0,25.14,4.09,0.6,23.22,2.04,0,1.43,1.35,0,0,5.5,0,60.1,3.48,0.59,4.28,113.1,0,1.75,14.54,0,0,22.89,0,0,0,0,6.92,0.84,1.84,2.44,0,6.34
 72-82,0,0,2.12,0,2.88,1.85,0,24.41,0,0.69,34.88,4.48,1.02,0.58,0,2.27,0.55,6.3,7.28,51.36,6.24,0.87,4.67,89.78,0,2.89,11.45,0,1.67,27.51,0,0,0,0,8.8,1.38,1.44,8.83,1.46,4.92
 84-94,0,0,2.74,1.01,17.23,0,3.4,33.82,1.7,1.55,27.86,8.28,0.76,1.73,4.17,1.49,1.05,4.78,0.58,59.8,4.4,1.23,3.37,75.19,0,7.28,18.73,0,0,74.17,0,0,2.03,0,12.65,2.6,5.64,8.18,1.92,0
 96-106,0,0,6.34,0,25.65,10.79,0.92,30.98,0,1.97,27.29,12.84,2.12,3.11,1.6,1.77,1.05,9.43,1.22,44.59,7.29,0.73,1.66,88.09,0,6.29,19.41,0,0,63.68,0.7,0,0.63,0,7.95,2.56,0,2.99,0,0
108-118,0,0,8.48,0,22.02,1.9,13.44,9.77,2.44,5.02,26.44,20.26,2.74,1.63,3.91,11.15,7.93,4.21,7.6,69.27,5.2,1.01,9.03,113.42,5.31,3.14,36.49,0,1.55,51.96,0,0,3.13,0,0,5.09,2.05,4.06,0,0
120,0,0,0,0,24.19,4.04,3.24,19.61,1.31,1.26,10.58,22.51,0,0,10.46,10.55,0,2.58,9.66,46.98,2.09,15.72,7.77,173.26,0,1.61,33.83,0,0,52.26,0,0,2.43,0,0,1.81,0,6.58,9.01,0
