stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,27.67,398.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.66,220.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0
  7-9,3.28,0,0,0,0,4.33,0,0,11.63,0,0,0,0,0,0,41.78,9.02,0,0,16.95,0,0,3.79,0,0,0,0,0,0,0,0
 10-12,0,0,6.36,0,11.83,0,0,0,27.21,0,0,0,0,0,0,160.98,5.15,0,0,46.85,0,0,0,0,18.13,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.28,0,0,1.19,0,0,0,0,0.93,0,12.29,0,0,0,0,0,0,0,3.07,0,0,1.02,1.86,0,0,0
 24-34,0,0,0.7,1.48,0,0,0.9,0,0,0,0,0,0,2.82,0,19.25,0,0,0,0,0,0,0,0,0.74,1.1,0,0.86,0,0,0
 36-46,0,0,0,4.44,0,2.72,1.65,0,0,0,0,0,0,2.72,1.62,13.59,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,1.05
 48-58,0,0,0,0,0.44,1.14,2.04,0,0,0,0,0,0,2.72,0,17.44,0,0,0,0,0,1.29,0,0,0,0,0,1.62,0,0,0
 60-70,0,0,0,0.93,0,16.67,1.01,0,0,0,0,0,0,5.27,0,16.78,7.77,0,0,0,0,0,0,0,0,0,0,5.44,0,0,0
 72-82,0,0,0,0,0.69,9.55,3.4,0,0,5.64,0,0,1.06,4.06,0,1.89,0,0,0,0,0,1.93,0,0,0,0,0,0,0.56,1.27,0
 84-94,0,0,0,1.91,0,5.83,3.07,0,0,0,0,0,0,5.89,2.9,3.81,0,0,0,0,0,5.53,0,0,1.11,0,0,0.95,0,1.17,0
 96-106,0,0,0,2.12,0,0,0,0,0,0,0,0,0,5.61,0,15.61,0,0,0,0,0,9.38,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.64,2.84,13.52,3.84,0,0,0.91,0,2.51,0,6.03,0,3.63,0,5.77,1.78,0,0.86,0.91,0,0,0,0,0,1.84,0,0.49,0
120,0,0,0,0,0,8.61,0,2.37,0,0,1.94,0,0,4.3,1.12,23.25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
