stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,89.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.97,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,11.46,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.18,0,0,0,15.86,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.41,2.87,13.77,5.59,0,4.89,0,0,0,2.47,0.84,0,0,0,0.81,0,0,0,0,11.21,0,0,5.97,119.54,3.96,8.69,0.9,3.17,0,0,6.55,2.29,0,18.41,36.89,0,0,0.84,0,0
 24-34,0,0,1.23,16.5,2.73,0,37.09,0,1.32,1.52,12.38,2.02,0,3.67,1.5,17.96,0.92,6.43,2.39,13.69,46.92,1.25,0,17.44,468.24,4.36,24.48,9.19,0,0,2.26,0,0.66,0.69,9.79,88.55,0,0,14.63,0,3.48
 36-46,0,0,0,3.41,4.4,0,51.82,0,0,1.2,24.36,2.02,0,2,1.86,8.99,17.53,5.33,0,6.28,39.8,0,0,14.72,641.45,3.66,11.61,7.34,0,0,21.03,0,0,3.04,0,119.85,0,0,15.72,0,17.72
 48-58,0,0.44,0,3,0,0,137.46,0.67,4.3,7.53,57.3,0,1.64,4.08,3.08,29.66,15.9,3.77,0,32.77,77.11,2.19,11.86,9.45,902.14,8.22,13.75,23.12,0,0,8.53,0,0.77,0,0,143.59,0,0,22.18,0,8.89
 60-70,0,11.61,0,40.94,2.08,0,256.63,0,5.68,21.16,60.71,0.95,0,0.66,22.28,13.24,9.07,12.5,4.62,7.57,131,0,13.08,10.98,629.21,9.91,11.82,23.98,0,9.27,2.32,0,0,0,0,79.52,0,2.36,29.98,3.53,12.67
 72-82,0,0,0,10.07,3.27,0,266.08,0.55,5.41,7.65,73.5,0,0,2.12,9.21,8.21,9.21,12.68,0.49,4.11,155.67,1.76,4.81,6.75,669.21,2.16,10.44,10.21,0,2.12,0,0,1.8,0,0,73.83,3.17,5.24,42.09,4.14,4.56
 84-94,0,1.14,0,15.73,6.94,0,186.6,3.76,6.34,2.66,86.6,12.71,0,1.44,14.79,9.91,23.66,23.11,3.91,23,128.55,7.06,17.59,6.57,461.78,6.21,15.97,12.44,0,6.92,4.21,0,6.5,0,0,28.55,13.05,5.14,62.56,5.43,14.79
 96-106,0,5.38,0,14.42,3.98,3.44,189.02,0,2.91,2.86,76.74,4.34,0,0,15.14,5.94,4.03,13.59,4.96,7.62,105.26,7.67,16.21,10.32,441.9,4.62,24.88,20.51,0,9.58,5.07,0,0,0,0,7.56,2.2,6.82,46.18,1.41,7.26
108-118,0,0,0,11.54,2.23,3.19,188.75,1.67,4.85,8.12,105.61,7.02,0,5.43,15.56,16.19,14.32,18.52,10.53,20.7,179.1,0.77,5.32,9.9,494.84,5.81,15.37,15.79,0,6.43,3.19,0,6.66,0.44,0,27.65,9.66,0,48.02,6.44,19.11
120,0,0,0,53.1,3.55,3.41,292.47,1.99,11.31,6.4,132.9,11.52,0,20.43,54.1,9.67,0,17.56,17.72,9.23,207.46,19.8,45.63,20.49,1074.46,22.66,39.9,25.41,0,11.13,10.61,0,0,0,0,42.81,5.98,0,96.76,15.16,4.33
