stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,551.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.37,0,0,0,0,0,0,0,0,0,0
  5-6,45.2,1453.57,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.54,0,0,0,19.43,58.34,0,0,0,0,0,0,0,0,0,0
  7-9,30.22,42.61,0,88.42,0,0,66.86,0,0,0,0,78.76,0,0,0,0,0,0,0,0,0,0,1189.88,16.56,0,0,274.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.98,0,6.82,0,0,74.46,0,0,0,0,14.13,0,0,0,0,0,0,0,0,0,0,281.3,0,0,0,40.96,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.08,1,2.53,0,0,2.2,0,0,0,0,0,0,3.13,1.01,3.05,0,0,0.9,45.92,1.98,0,0.91,0,0,4.15,0.89,3.1,3.69,15.23,0,0,0,0,0
 24-34,0,0,0,0,3.24,0.81,3.21,0,0.68,3.32,0,0,0,0.6,0,0,0,0,5.4,0,0,0.6,48.88,0.84,1.1,1.04,0,1.41,0,0.98,0,0,33.74,0,0,2.85,0,0
 36-46,0,0,0,0,2.86,0,7.55,0,0.57,7.42,2.36,0,0,0.61,0,0,0,0.7,8.16,0,0,1.82,110.81,0,4.41,0,0,0,0,0,0,0,35.83,0,0,12.32,0.78,0
 48-58,0,0,0,0,0,0,21.12,0,0.5,5.52,0,0,0,0,0.41,0,0,3.82,7.36,0,0.6,0.49,53.56,4.77,1.39,0,0,0.89,0,0.37,0,0,16.94,0,0,0.64,0,0
 60-70,0,0,0,0,0,0,21.89,0,0,8.74,0,0,0,0,0,0,0,0,4.92,0,0,0,61.5,1.36,0,0,0,5.47,0,0,0,0,13.76,0,0,10.18,0,0
 72-82,0,0,0,0,2.18,0,38.33,0,0,11.13,0.99,0,0,0,0,0,0.74,4.73,9.35,0.96,0,4.94,61.29,0.53,3.27,1.35,0,0,0,0,0,0,7.36,0.53,1.45,4.03,0,0
 84-94,0,0,0,0,1.33,0,47.23,0,0,4.05,0.72,0,0.66,0,0,0,0,2.87,6.45,0,0,0,34.99,0,0,0,0,0,0,0,0,0,4.53,0,0.84,0,0.89,0.69
 96-106,0,0,1.15,0,3.06,0.76,23.41,0.62,0.6,8.15,0,0,0.59,0.66,0.63,0,0,0,3.47,3.77,0,0,11.02,0,1.88,0.79,0,0.63,0,2.22,0,0,3.11,0,0,3.54,0,0
108-118,0,0,0,0,2.23,2.18,31.37,0,0.58,2.39,1.77,0,0.47,0,0,3,0,0,6.78,0,0,0,27.29,0.62,3.03,1.29,0,3.19,0,0,0,0,0,0.44,1.11,0.62,0,0
120,0,0,0,0,4.29,0,0,9.8,0,17,0,0,0,0,0,0,0,0,5.68,0,0,0,34.48,0,0,3.89,0,1.55,0,0,0,0,0,0,1.54,0,0,4.74
