stage,epidermis,fin.epithelia,ionocyte,iridophores,liver,mesenchyme,mucous,neural,olfactory,otic,spinal.cord,taste
 14-21,0,0,0.9,0,0,0,0,0,0,0,0,0
 24-34,0,0,3.38,0,0,0,0.77,0,0,0,0,0
 36-46,0,0,1.15,0,0,0,0,0,0,0,0,0
 48-58,2.16,0,1.69,0,0,0,0.49,0,0,0,0,0
 60-70,0,0,0.71,0,0,0,0,1.85,0,0,0,0
 72-82,0,0,0.63,0,0,0,0,6.38,0,0,0,2.2
 84-94,0,0,0,0,0.83,0,0,2.14,2.33,0,0,22.61
 96-106,0,0.69,1.04,0,0,1.37,0,6.49,0,2.73,0,158.75
108-118,0,0,0.7,0,0,0,0,6.34,0,0,0,218.99
120,0,0,1.89,1.43,0,2.5,0,0,0,0,3.71,36.25
