stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,heart,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  5-6,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,1.2,1.8,1.31,0,0.85,0,31.83,0,0,0.97,0,0,1.47,2.3,1.6,0
 24-34,0,0.67,0.75,0,0,0,0,2.38,0,30.99,0,0,0,0,0,0,0.65,1.21,0
 36-46,0,0,0,0,0.65,0,0,1.57,0,14.68,0,0,0,0,0,0,12.71,0,0
 48-58,0,0,4.77,0,8.96,0.69,0.87,2.99,0.5,10.07,0,0,0,0,0,0,9.54,0,0
 60-70,0,0,0,0,24.14,0,0,1.17,0,25.68,1.36,0,0,0,0,0,2.64,0,8.49
 72-82,0,0,0,0,9.17,0,0,5.25,0,21.03,0,0,0,0,0,0,4.85,3.73,0
 84-94,0,0,0,0,8.53,0,0,1.32,0,25.36,0,0.65,0,0,0.77,0,0,0,0
 96-106,0,0,0,0,4.53,0.93,0,0,0,4.44,0,0,0,6.67,9.73,0,4.02,2.1,0
108-118,0,0,0,0,5.59,1.55,0,1.28,0,34.24,0,0,0,0,0,0,0,0,0
120,0,0,0,0,13.64,0,0,0,1.82,30.57,0,0,0,0,0,0,0,9.72,0
