stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.69,0,0,0,0,0,0,0
  5-6,24.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,13.93,0,0,0,0,25.48,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.61,0,0,0,0,19.11,0,0,0,0,0,0,0
 14-21,0,0,1.51,27.81,0.84,0,0,0,0,0,0,0,0,4.09,0,0,0,1.97,0,0,11.38,0,1.02,2.04,0,394.15,1.23,0,0.94,0.97,0,0,0
 24-34,0,0,0,7.68,0,0,1.84,0.62,0,0,0,0,0,3.16,10.3,0,0,0.72,0,2.95,20.25,0,0,2.14,0,503.48,0,0.74,0,2.15,0,0,0
 36-46,0,0,0,10.91,0,0,4.47,0.57,0,0.83,0,0,0,0,3.56,1.14,0,0.91,2.52,2,22.23,1.71,0,5.05,0,574.51,0,1.03,0,7.39,0,0,0
 48-58,0,0,0,10.43,0,0,3.75,1.41,0,0.86,0,3.47,0,0,2.69,0,0,0,0,0.42,21.37,0,0.38,12.33,0,228.06,0,0.61,0,5.84,0,0.87,2.47
 60-70,0,0,0,17.96,0,0,3.33,10.23,0,0,0,0,0,0.84,19.89,0,3.44,0.88,0,0,10.91,0,0,11.91,0,415.32,0,0,0,3.17,0.61,0.89,0
 72-82,0,0.68,0,31.21,0.64,0,20.14,1.28,0,0.74,1.13,0,0,0,14.05,0,0,1.45,1.8,1.23,26.98,0,0,4.56,0,203.2,0,0,0,0,0,0,0
 84-94,0,0,0,78.09,4.12,0,8.53,8.87,0,4.57,0,0,0.75,6.8,19.5,0,0,2.75,6.53,0,23.37,0,1.27,28.54,0,718.82,0,0,0,0,3.49,1.81,0
 96-106,0,0,0,101.15,1.27,0,7.55,17.05,3.26,2.14,4.35,0,0,10.47,25.49,0,0,2.86,12.92,0.9,23.55,0,0,37.68,0,737.57,0,0,0,4,1.45,0.83,0
108-118,0,0,0,82.33,0,3.35,10.78,23.12,2.54,3.94,3.83,0,0,10.89,25.91,0,0,7.09,10.54,0.72,23.12,0,0.64,32.21,1.95,554.92,0,0,0,1.9,3,2.87,0
120,0,0,0,63.24,0,0,1.24,37.67,0,5.85,3.65,0,0,1.65,45.84,0,0,0,4.23,0,12.62,0,0,57.55,0,281.14,0,0,0,0,0,0,0
