stage,epidermis,glial,iridophores,mesenchyme,muscle,neural,otic,spinal.cord
 24-34,0,0,0,13.34,0,0,0,1.79
 36-46,0,0,0,9.46,0.92,0,0,0
 48-58,1.83,0.85,4.49,23.13,0.45,5.06,0,0
 60-70,0,0,0,18.73,0.77,0,0,0
 72-82,2.82,0,0,27.92,3.73,0,0,0
 84-94,5.27,0,0,21.28,3.26,0.57,0,4.24
 96-106,0.59,0,0,10.07,1.34,0,0,0
108-118,2.12,0,0,7.07,0,6.03,1.91,0
120,6.86,0,0,1.88,0,0,2.33,0
