stage,blastomeres,endocrine_pancreas,endoderm,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,12.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.1,0,0,0,0,0,0,0,4.06,0,0,0,12.57,0,0,0,0
 10-12,0,0,6.93,0,3.68,0,0,0,0,0,0,0,17.94,0,21.85,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,2.08,0.87,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,2.99,0,0,0,0,0,0,0,0,1.23
 72-82,0,0,2.36,0,0,0,0.96,6.28,0,0,1.7,0,0.87,0,0,0,0
 84-94,0,0,10.35,0,0,0,0,8.1,0,0.61,1.41,0.68,0,0,0,0,0
 96-106,0,0,17.19,1.53,0,0,0,24.48,0,0,0.6,0,1.12,0,0,0,0
108-118,0,0.98,22.77,0,0,0,0,26.39,0,0,6.54,0,0.71,0.44,0,1.99,0
120,0,0,3.57,0,0,15.43,0,24.82,0,0,2.83,0,5.96,0,0,0,0
