stage,epidermis,eye,glial,gut,immune,liver,mesenchyme,muscle,neural,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.21,0,0,0,0,0,0,0
 14-21,0,0.82,0,0,0,0,0,0,0,0,0,2.15,0,1.7,0,0
 24-34,1.03,0,0,0,0,0,1.88,0,6.01,0,0,0,1.79,0,3.12,0.81
 36-46,0.64,0,0.76,0,0,0,3.47,0.61,12.89,0,1.64,0,0,0,0,0
 48-58,0,1.19,0.87,0,0,0,0.96,0,14.37,0,0,0,0,0,1.4,0
 60-70,0,2.46,0,0,0,0,0.63,0,8.83,0,0,0,0,0,0.97,0
 72-82,1.05,0,1.26,0,0,0,4.46,1.23,13.96,0,4.93,0,0,0,1.81,0
 84-94,0,2.3,0,0,0.86,0.57,0.78,0,7.59,0,1.51,0,0,0,0,0
 96-106,0.85,0,1.01,0.98,0,0,3.57,0,14.2,0,3.13,0,0,0,0,0.92
108-118,0.53,0,1.97,0.52,0,0,0,0,3.4,4.54,3.34,0,0,0,0,0
120,0,0,9.04,0,0,0,0,0,25.92,0,6.1,0,0,0,0,0
