stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,311.29,6098.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.95,0,0,0,0,0,0,0,0,0,0,0
  5-6,130.61,2379.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.19,0,0,0,0,68.64,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.02,0,3.67,0,0,0,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,55.93,26.18,0,0,21.61,0,38.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.72,0,0,0,0,0,43.4,0,0,0,0,0,0,0,0,0,0,0,0,0,166.38,3.62,0,0,26.72,4.05,20.72,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.2,4.25,13.74,1.75,0,1.93,0,6.07,0,2.82,0,0,0,0,0,0,1.12,0,1.86,88.07,5.08,2.35,3.04,0,3.35,2.02,8.99,115.99,0,6.4,95.63,0,0,0,0,0
 24-34,0,0,1.94,3.33,4.77,1.36,0,4.53,0,30.4,2.08,0,0.8,0,0,0.71,0,0,2.98,0,0,127.86,0,8.25,5.62,0,41.23,0,0,81.15,0,0.59,144.4,0,0,15.33,0,0
 36-46,0,0,0,0,2.22,0,0,5.81,0.68,44.57,0.72,0,2.8,1.26,0,0,0,0,3.82,0,0,149.28,0,9.39,0,0,39.84,0.81,0,41.19,1.14,0,107.16,0,0,18.46,0,0
 48-58,0,0,0.91,0,5.62,0,0,24.31,0,65.68,0.38,4.66,4.34,2.77,0,0.56,0,0,5.76,2.57,0.83,134.23,0,8.01,1.19,0,22.98,0,0,16.74,0,0,73.5,0,0,2.83,0,0
 60-70,0,0,3.19,0,0,0,0,37.45,1.57,77.95,6.69,11.39,4.68,0.92,0,0,0,0,9.62,4.03,13.16,163.49,0,8.5,2.93,0,19.11,0,0,1.89,0,0,44.46,0,0,0,0,0
 72-82,0,0,12.49,0,1.66,20.85,0,46.01,0,101.75,16.14,4.51,11.55,0,0,0.79,0,0,36.83,2.4,0.49,233.91,0,14.23,0.51,0,10.57,0,0,5.86,0,0,40.83,0,0.87,1.41,0,0
 84-94,0,0,26.27,0,2.97,10.9,0,66.03,0,107.49,34.8,2.83,32.43,0,0,0,0,0.73,13.38,2.56,0,134.24,0.76,3.84,4.14,0,50.53,0,0,3.74,0,0,26.66,0,0,4.74,0.75,0
 96-106,0,0,14.98,0,4.53,11.8,0,96.96,0.58,144.32,23.58,0,23.37,2.61,0,3.06,1.45,0,14.02,11.41,0,155.89,0.64,17.25,6.87,0,38.98,0,0,4.04,0,0,34.33,3.02,0,0,1.22,1.24
108-118,0,0,10.62,1.06,1.18,2.71,2.52,107.94,0,190.54,11.38,0,19.34,3.19,1.25,0,2.09,0,49.44,8.31,0,206.69,0,9.62,5.94,0,27.22,0,0,4.15,0.8,0,42.26,2.48,0,2.61,0,0
120,0,0,1.37,0,37.06,2.85,0,99.19,2.34,195.69,21.87,0,40.94,9.81,0,0,8.94,0,25.1,32.64,0,316.36,0,5,1.99,0,38.62,0,0,4.17,0,0,64.43,0,0,0,0,0
