stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,olfactory,otic,periderm,spinal_cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,17.57,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,6.46,0,0,0,0,0,0
 14-21,0.84,0,0,0,0,1.69,0,0,0,0,3.14,0,0,12.93,0,0,0
 24-34,0,0,0,0.63,0,1.9,0,0,0,0,10.3,0,0,39.19,4.96,0,0
 36-46,5.82,0.97,0,0,0,0,0,0,0,0,37.65,0.6,0,30.98,12.37,0,0
 48-58,0.71,2.54,0,0,0,0.39,0,1.34,0,0.37,18.31,0,0,14.86,4.6,0,0.75
 60-70,2.46,4.49,0,0,0.89,0.92,0,0,2.11,1.27,18.42,0,0,14.85,3.75,0,0
 72-82,0,5.21,0,0,0,0,0,0,1.67,0,15.17,0,0.49,14.48,4.9,0.71,0
 84-94,3.04,19.13,1.13,0,0,0.95,0.66,0,0.77,0,24.21,0,0,47.42,1.05,0,0
 96-106,3.04,3.07,0,0,0,0.97,0,0,0,0,7.57,0,0,33.41,0,0,0
108-118,0.97,5.87,0,0,1.63,0.44,1.68,0,0,0.77,15.62,0,0,28.22,0,0,0
120,2.88,0,0,0,9.08,6.37,1.19,0,0,0,12.62,0,0,24.23,1.7,0,0
