stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,89.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.93,142.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,0,13.74,0,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0,41.84,0,0,0,46.78,0,0,0,0,0,0,0,0,0
 10-12,0,0,19.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.28,29.32,0,0,7.39,0,12.82,0,3.54,0,0,0,0,0
 14-21,0,0,0,7.53,1.89,1.22,0,0,0,0,1.96,0,0,0,0,0,2.7,0,16.72,1.13,0,0.95,0,1.15,0,5.59,0.97,5.06,0.89,2.78,0,0
 24-34,0,0,0,0.84,0,0,0,0,0.77,0,0.75,0,0.6,0,0,1.75,2.76,0,19.34,0,0,0,0,1.72,0,0,0,0,0.71,1.32,0,0
 36-46,0,0,0,0,0,2.3,0,4.6,0,0,0,0,0,0,0,1.14,1.49,0.62,15.21,0,1.14,0,0,0,0,0,0,0,0,1.41,0,0
 48-58,0,0,0,0,0,6.92,0.77,0.94,0,0,0,0,0,7.33,0,0,4.57,1.71,10.28,0,0,0.4,0,0,0,0,0,0,0,0,0,2.81
 60-70,0,0,0,0,0,22.64,0,3.24,0,0,0.71,0,0,0,0,0,12.27,0,15.5,0,0,0,0,0.63,0,0,0,0,0,0.86,0,0
 72-82,0,0,0,0,0,41.71,0,0.54,0,0,2.62,0,0,0,0,0,5.85,0,21.85,0,0,0,0,1.62,0,0,0,0,0,0,0.71,0
 84-94,0,0,0,0,1.18,8.3,0,3.07,0,0,0,1.19,0,6.12,0,0,10.93,0,11.03,0,0,0,0,0.99,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,59.92,0,2.96,0,0,1.61,0.74,0,0,9.08,0,4.94,0,32.39,0,0,0,0,0.62,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,6.68,0,1.55,0,0,1.83,0,0,0,0.86,0,4.82,0,13.11,0,0,0,0,0,0,0,0,0,0,0,0.67,0.59
120,0,0,0,0,0,17.39,0,0,0,0,0,0,0,0,1.58,0,3.89,0,13.08,0,0,0,0,0,0,0,0,0,0,0,4.3,0
