stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,26.95,134.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.72,451.43,8.02,0,0,0,0,0,0,0,0,0,0,0,0,26.79,0,0,0,9.77,9.07,0,0,0,0,0
  7-9,11.64,0,4.13,0,0,36.78,0,0,0,0,0,18.3,0,0,0,220.23,19.92,0,0,66.33,0,0,0,0,0,0
 10-12,0,29.71,35.22,0,0,25.42,0,0,0,0,0,3.11,0,0,0,178.6,5.01,0,0,42.31,0,3.37,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,0
 24-34,0,0,0,12.13,0,3.06,0,0.82,0,1.67,0,0,0,4.54,0,28.46,0,0,0,0,2.24,0,0,3.03,3.28,0
 36-46,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,24.24,0,0,0,0,1.59,0,0,3.1,0,0
 48-58,0,0,0,13.92,0,9.58,2.39,0,0,0,2.44,0,0,3.33,0,1.29,0,0,0,0,0,0,0.98,0,0,0
 60-70,0,0,0,4.08,0,13.6,0.81,0,1.48,1.59,1.64,0,0,9.52,0,37.69,0,0,1.72,0,0,0,0,8.24,0,0
 72-82,0,0,0,3.15,0,3.43,0,0,0,0,0,0,0,2.67,0,7.93,0,0.79,0,0,0.52,0,0,0,0,5.89
 84-94,0,0,0,0,0,0.63,0,0,0,0,0,0,0.8,4.59,0,2.57,0,0,0,0,0.74,0.91,0,0,1.86,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.53,0.65,1.01,0,0,0,0,0,0,0,1.34,2.09,1.3,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,18.81,0,7.36,0,0,0,0,0,6.45,0,9.99,0,0,0,0,0,0,0,0,0,0
