stage,axial,blastomeres,endoderm,epidermis,eye,glial,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,70.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,23.71,0,0,0,0,0,0,0,0,32.7,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.04,0,0,12.02,0,0,0,0,0,142.73,4.49,0,141.85,0,0,0,0,0,0,0
 10-12,3.8,0,41.48,0,0,0,0,0,0,0,153.16,18.69,0,195.02,0,10.56,12.78,5.71,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,13.47,8.43,0,0,2.62,0,0,64.26,0,67.26,13.19,0
 24-34,0,0,0,0.65,1.63,0,0,0,0,0,6.96,0,0,0,0,0,0,0,10.87,1.58,0
 36-46,0,0,0,0,0,0,0,4.95,0.85,0.85,9.23,0,0,0,0.72,0,0,0,0,6.65,0
 48-58,0,0,0,0,4.13,0.56,0,1.04,0,0.55,17.97,0,0,0,0,0,0,0,0,1.87,0
 60-70,0,0,0,0,1.93,0,0,0.6,0,0,5.26,0,0.74,0,0,0,0,0,0,0,1.82
 72-82,0,0,0,0,9.2,1.54,0,3.24,0,0,5.47,0,0,0,0,0,0,0,0,0.55,0
 84-94,0,0,0,0,11.75,0,0,0,0,0,12.14,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,6.67,0,0,1.03,2.56,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
120,0,0,0,1.72,7.6,0,0,0,4.76,0,5.23,0,0,0,0,0,0,0,0,0,1.54
