stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.1,89.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.93,0,0,0,0,0,0,0,0,0
  5-6,12.28,64.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.64,0,0,0,0,0,28.62,0,0,0,0,0,0,0,0,0
  7-9,5.17,0,0,0,0,0,0,16.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.32,0,0,0,9.24,0,14.74,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.68,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.2,8.09,0,0,58.31,0,17.13,11.11,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,4.02,31.69,0,0,0,0,0,1.01,1.58,1.15,0,0,0,44.1,0,10.48,0,0,3.13,23.4,0.95,0,0,0,0,5.32,0,6.48,0,3.38,12.22,0,0,0,0
 24-34,0,0,0,0,8.88,0,0,1.6,0.7,0,0,1.02,0,0,0,0,18.5,0,7.58,0.6,0,3.28,43.4,4.61,0,1.05,0,0,15.78,0,0,0,1.3,10.83,0,2.43,0,1.01
 36-46,0,0,0,0,24.82,0,0,2.54,0,0,3.22,1.17,2.26,0,0,0,4.17,3.63,14.71,0,1.42,2.57,8.33,0,0,0,0,0,25.28,0,0,0,0,3.71,0,0,0,0
 48-58,0,0,0,0,12.5,0,0,1.55,0,0.9,3.86,3.41,0.44,0,2.21,0.41,2.92,0.46,15.07,0,0,1.96,10.86,0,0,0.4,0,0,17.38,0,0,0,0,4.11,0.51,0.41,0,9.82
 60-70,0,0,0,0,16.58,0,0,5.32,1.8,1.97,3.55,17.6,0,0,1.75,0,4.99,1.94,21.27,0,0,1.66,9.16,0,0,0,0,0,5.58,0,0,0,0,1.9,0,1.48,1.92,3.59
 72-82,0,0,0,0,9.3,0,0,2.51,0,0.7,13.49,22.03,0.87,0.52,6.23,0.67,1.6,0,27.38,0,0,1.1,23.63,0,0,0,0,1.2,10.33,0,0,0.6,0,1.96,0,5.58,1.96,1.68
 84-94,0,0,0,0,11.58,0,0,16.7,2.55,0,0.91,39.96,0,2.06,12.18,0,0.6,0,16.4,0,2.5,0,3.15,0,0,0.79,0,0,11.46,0,0,0,0,0,0,1.08,2.56,0
 96-106,0,0,1.11,0,4.76,4.67,0,3.04,1.77,0.64,5.32,93.75,0.99,0,9.99,0,0,0,22.48,0,0.92,2.28,20.53,0,0,1.19,0,4.06,4.97,0,0,2.4,0,0,0,0.75,2.81,4.7
108-118,0,0,1.15,0.42,15.49,0,0.57,17.26,0.52,1.09,6.54,92.79,3.53,0.43,18.91,0,4.58,0,22.26,0,1.03,0.43,29.01,0.51,1.53,0,0,6.37,0.41,0,0,0,0,0,0,0.78,0.55,0.87
120,0,0,3.73,0,10.8,0,0,8.95,1.5,0,0,73.46,0,0,20.23,0,7.54,0,10.59,1.63,6.62,0,31.2,0,0,0,0,0,1.89,0,0,0,0,0,2.93,0,0,4.45
