stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,taste,vasculature
  3-4,61.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.15,0,0,0,0,0
  5-6,23.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8,0,0,0,0,0,0,0,0
  7-9,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,11.38,0,12.73,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.56,0,0,6.54,0,0,0,0,0,0
 14-21,0,0,7.03,0,0,0,0,0,0,0,20.8,0,0,0,0,1.49,0,0,0,0,0,1.28,0,0,0
 24-34,0,0,9.21,1.68,0,0,0,0,0,0,12.86,0,0,23.93,0,3.72,0,0,0,0,0,0.64,1.54,0,0
 36-46,0,0,1.41,0,0,0,0,0,0,0,2.5,0,0.9,43.35,4.83,3.71,0,0,0,0,0,2.67,0,0,3.7
 48-58,0,0,0.56,0,0.49,0,0,0,0,0,4.7,0,1.22,53.48,0,6.99,0,0,0,1.97,0,0,0,0,0
 60-70,0,0,0.9,0,8.96,0.62,0,0,0,0.85,21.11,0,0.95,71.15,0,2.41,0,0,0,0,0,1.06,1.63,0,0
 72-82,0,0,0.6,0,0.96,4.61,0,0,0,4.15,0,0,0,83.43,0,8.81,0,0.75,0,0.99,0,0,0,0,0
 84-94,0,0,6.88,0,0,0,0.61,0,0,31.11,5.28,0,1.97,96.42,1.54,2.68,0,0,0,0,0,0.67,1.43,0,0
 96-106,0,0,9.24,0,4.6,1.46,0,4.17,0,42.56,6.34,1.68,5.52,125.67,0,15.34,0,0,0,0,0,0.6,0,2.03,0
108-118,0,0,15.75,0,1.46,0.44,0,0,1.97,87.88,3.25,0,0,200.15,8.49,1.12,0,1.61,0,1.89,0,1.56,0,1.03,0
120,0,0,4.3,0,23.2,2.98,0,0,16.1,49.94,9.73,0,0,144.92,7.71,0,0,0,0,1.28,0,1.79,0,0,0
