stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,63.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,57.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.31,0,0,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.84,0,0,0,0,0,0,0,1.53,0,0,0,0,0
 24-34,0,10.56,0,0,17.59,0,0.97,0,0,0,0,0,2.74,0,0,0,0,0,0,0,7.59,805.22,0,2.31,0,0,7.59,0,0,4.59,0,0,0,0,0
 36-46,0,14.44,0,0,19.54,0,0,0,10.09,0,0,0,0,0,0.57,0,0,7.31,0,0,0,1251.69,0,0,0,0,2.34,0,0,21.4,0,0,1.34,0,0
 48-58,0,19.43,4.4,0,145.07,0.42,1.52,7.69,28.26,0,0,0,0.61,6.95,1.32,0,0,5.8,5.57,0,1.36,2593.42,0,1.82,1.21,0,10.55,0,0,203.21,0,0,0.55,0,3.78
 60-70,0,33.02,0,0,158.15,0,2.21,0,36.99,0,0,1.43,7.62,0,4.96,0,10.96,19.8,20.49,7.81,1.18,3331.22,6.52,4.46,0,0,31.56,0,0,408.92,0,0,0.93,0,0
 72-82,0,49.27,9.58,0,167.53,0,1.57,2.45,20.4,0,0,19.04,19.11,0.57,8.85,0,0,57.05,20.83,0,0.53,2125.65,1.43,0,1.37,1.78,48.18,0,0,185.13,11.45,1.3,5.63,0,3.38
 84-94,0,80.93,8.51,0,209.21,0,8.16,0,34.87,0.89,1.27,16.72,15.65,1.94,7.86,2.11,0,59.33,9.92,0,2.74,1447.01,0,0,0.92,0,159.28,0,3.45,137.83,2.67,0,2.1,0,13.18
 96-106,0,90.33,5.71,0.92,84.4,0,0,0,27.64,0,0,75.1,17.68,0.75,4.93,0,0,35.31,21.06,0,1.65,1077.67,0,0.81,0.59,0,124.35,0,0.99,23.03,0,0,0,1.22,0
108-118,0,123.13,0,0,102.46,0,3.76,3.77,13.73,1.97,0,68.78,11.89,0,2.21,0,0,63.55,20.41,3.6,1.96,1412.08,0,2.91,1.07,0,142.22,0,0,38.93,3.44,0,0,3.18,0
120,0,100.06,0,0,162.93,0,24.4,7.25,28.42,2.8,0,150.62,3.53,0,2.05,3.42,0,68.37,6.75,0,0,1617.65,0,0,0,0,96.75,7.43,0,8.24,2.15,0,0,0,0
