stage,eye,fin_epithelia,immune,periderm,vasculature
 48-58,3.38,0,0,0,0
 60-70,0.94,0,0,0.57,0
 96-106,0,0,0,0,1.71
108-118,0,1.58,0.95,1.34,0
120,0,0,1.81,0,0
