stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,266.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0
  5-6,16.03,111.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,12.37,0,0,0,0,0,0,0
  7-9,7.35,0,0,0,0,0,15.07,0,0,0,0,4.63,0,0,0,0,0,171.01,0,0,0,14.24,0,0,0,0,0,0,0,0
 10-12,0,15.02,0,0,0,0,12.31,0,0,0,0,0,0,0,0,0,0,227.22,0,0,0,43.34,0,0,0,0,3.51,0,0,0
 14-21,0,0,0,0,3.31,4.36,1.77,0,0,1.28,0,0,0,0,0.88,0,0,23.35,0,1.23,0,0,0,3.2,3.6,0,5.68,0,0,0
 24-34,0.88,0,0,0.71,0,0,0,0,0,2.55,0,0,0,0.63,4.45,0,0.71,29.84,0,0.67,3.32,0,0,0,0,0.6,3.89,0,0,1.32
 36-46,0,0,0,0,1.32,0,5.77,0,0,0.86,0,0,0,0,2.72,0,2.96,7,0,0,1.38,0,0,0,0,0,1.79,0,0,1.97
 48-58,0,0,0,0,0,0,1.92,0,0,2.9,0.39,0.93,0,0,0.57,0.53,0,1.03,0,0,0,0,3.44,0,4.98,0,0,0,0,0
 60-70,0,0,0,0,4.22,0,0.89,0,0.76,0,0,1.77,0.62,1.26,0,0,0,7.01,0,0,2.1,0,0.57,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.6,0,1.2,0,1.14,3.49,0.57,0,0,0.6,1.41,0,0,8,0,0.53,6.01,0,0,0,0,0,1.12,0,0,0
 84-94,0,0,0,0,6.54,0,2.41,0,0,2.03,0.77,0,0,0,3.38,0,0,3.64,0,12.62,0,0,6.15,0,0.67,0,0,0.78,0,0
 96-106,0,0,0.94,0,1.75,0,3.81,0,0,8.18,0,0,0,1.75,6.79,0,0,5.07,0,6.24,3.39,0,2.54,0,0,0,0,0,0,0
108-118,0,0,1.18,0,2.5,0,8.96,0,0,4.85,0,0,0,0,1.43,0,0.62,8.36,0.41,0,0,0,5.61,0,0,0,4.51,1.6,0,2.53
120,0,0,0,0,2.67,0,0,3.01,2.6,6.38,0,0,0,1.12,0,0,0,7.31,0,0,3.42,0,0,0,2.81,0,0,0,1.95,0
