stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,212.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.31,517.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33,0,0,0,20.97,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.48,27.81,32.64,0,0,0,42.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666.21,32.02,0,0,190.79,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.75,14.72,0,0,0,68.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.37,36.88,0,0,183.41,0,0,0,3.54,0,0,0,0,0,0,0,0
 14-21,0,0,0,22.79,4.83,0,9.99,0,0,0,16.36,1.23,0,0.97,0,0,0,0.92,0,0,8.03,0,0,143.07,212.01,4.42,0,2.7,4.58,0,0.91,46.06,0,4.63,496.06,75.88,0,0,1.23,0,0
 24-34,0,0,0,7.82,0.81,0,34.63,0.91,2.11,17.01,7.41,0.64,1.15,3.27,0,0.69,0,0,0,0,86.84,0,0.89,288.03,329.62,0.85,1.5,1.5,0,0,0,2.4,0,4.45,94.09,62.36,0,0,9.05,0,0
 36-46,0,0,0,1.39,0,0,70.77,0.61,1.62,20.76,16.57,0,0,0,1.66,0,0,1.93,0.91,0,220.85,0,0.77,127.97,372.46,2.07,5.61,1.94,0,0,20.1,0,2.58,1.78,1.25,96.03,0,0.85,3.77,0,10.02
 48-58,0,0,0,7.97,0,0,76.19,2.89,1.26,12.33,10.07,4.28,0,0.48,0,0,0,0,0,0,427.24,0,1.33,105.3,157.64,0.53,4.02,0.87,0,0,4.91,0,0,0,0,37.91,0,0,8.3,0,3.94
 60-70,0,0,0,14.93,1.35,0,136.64,3.21,0,8.42,41.69,0.62,0,0,0.64,0,0,0,1.63,5.78,1188.03,0,0.66,76.31,166.96,1.17,3.74,8.79,0,0,8.04,0,0,0,0,43.35,2.51,1.65,2.73,0,5.13
 72-82,0,0,0,2.73,13.84,0,50.28,14.14,1,13.73,16.4,0.57,0,0,1.84,0.84,1.38,0,4.21,0,1697.93,1.09,2.73,81.43,65.62,0,0,1.59,0,0,3.14,0,0,0,0,10.98,0,6.51,9.28,0,4.04
 84-94,0,0,0,8.84,8.8,0,85.31,3.62,1.86,14.75,21.06,0.76,0,0,2.14,0,2.49,0.83,0,8.97,1832.88,0,0.98,91.57,113.07,0,1.41,0.95,0,0.83,4.74,0,0,0,0,24.56,0,5.94,1.18,3,7.17
 96-106,0,0,0,12.66,24.17,0,77.56,2.75,0,0.75,19.45,3.55,0,4.02,5.62,0.56,3.44,1.58,11.55,0,1287.98,8.7,3.15,41.68,81.52,0.75,3.4,2.51,0,0,14.19,0,0,0,0,4.74,1.68,8.93,6.49,5.24,1.06
108-118,0,0,0,12.1,6.06,8.09,81.6,4.42,4.35,2.58,49.05,2.85,0,0,7.85,0.45,1.8,0,4.08,0,1230.41,0,4.74,37.06,115.75,5.62,1.77,1.82,0,2.74,19.3,0,0.42,0.5,0,8.65,0.42,2.45,6.92,1.82,6.61
120,0,0,0,17.89,7.86,0,42.25,9.39,0,0,44.45,6.39,0,0,2.88,0,0,2.64,0,1.64,1450.14,13.94,0,51.57,146.81,8.76,4.66,4.02,0,0,6.51,0,0,0,0,17.69,0,6.45,2.66,0,0
