stage,blastomeres,epidermis,eye,glial,gut,hatching_gland,immune,mesenchyme,mucous,muscle,neural,vasculature
  5-6,7.15,0,0,0,0,0,0,0,0,0,10.93,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.29,0
 10-12,0,0,0,0,0,0,0,0,0,0,37.12,0
 14-21,0,96.34,2.85,0,0.82,0,0,0,0,0,4.54,1.12
 24-34,0,64.13,0,0,0,0,0,0,0.82,0,3.72,0
 36-46,0,12.24,0,0,0,1.06,0,0,0,0,0.59,0
 48-58,0,0.95,1.55,1.64,0,1.67,0,0,1.32,0,0.89,0
 60-70,0,0,0.64,0,0,0,1.66,1.15,0,0,0,1.16
 72-82,0,0,0.85,0,0,0,2.08,0,0,0.82,10.66,1.22
 84-94,0,0,1.45,0,0,0,0,0,0,1.74,0,5.2
 96-106,0,0,1.6,0,0,0,16.59,0,0,2.02,0,0
108-118,0,0.69,0.56,0,0,0,7.05,0,0,0,0,3.04
120,0,0,0,0,0,0,4.04,0,0,3.79,0,19.04
