stage,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.88,15.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07,0,0,4.57,9.12,0.82,0.86,1.14,1.03,0,0.98,0.91,4.72,1.3,14.46,0,2.01,0,0
 24-34,0,5.37,151.35,0,16.26,0,0,0,20.23,7.95,0,1.24,0,0,15.14,0,339.2,3.02,2.72,116.68,74.14,1.34,0,0,0,0,2.08,0,0,0,8.32,0,1.15,0,0
 36-46,0,0,23.62,0,0.66,0,0,2.29,18.77,0.63,0,1.59,0,0,4.55,1.46,188.52,0.86,6.78,16.33,89.25,0,0,0,0,17.01,6.26,0,0,0,9.35,0,0,0,0
 48-58,0,4.57,45.98,0,9.22,0,0,1.15,42.75,0,0.76,4.25,0,1.04,4.32,0.71,142.29,0,8.09,9.57,68.74,0,0,0.85,0,0.45,0.42,0,0,0,7.78,0,3.74,10.81,1.99
 60-70,0.86,0,0.78,0,5.29,0,0,4.31,5.36,1.08,1.8,0,0,0,0,0,23.97,0,2.6,1,36.01,0,0,0,0,0,3.11,0,0,0,6.52,0,0,0,0
 72-82,0,0.63,5.22,0,7.65,0,0,5.07,0.53,0,0,0,0,0,0,0,10.24,0,0.72,0.83,43.34,0,0,0,0,0,0,0,0,0,2.77,0,2.16,2.24,0
 84-94,0,0,4.64,0.73,7.16,0.8,0.59,0.6,0.92,0,0,0,0,0.76,0,0,9.17,0,0.63,0,50.74,0,0,0,0,0,2.62,0,0,0.97,1.05,0,0,0,0
 96-106,1.11,0,5.51,2.33,11.53,0,0,0.79,17.4,0,1.2,0.58,0,0,0,0,22.73,0,3.71,1.21,13.31,0,0,0,0,0,1.02,0,0,0,13.91,0,2.59,0,0
108-118,0,0,2.22,0,7.32,0,0,6.38,2.95,0,0.65,0,0.69,0,0,0,5.03,0.49,0,0,38.63,0,0,0,0,0,5.26,0,0,0,0.98,1.03,4.84,14.62,0.55
120,0,0,4.11,0,6.68,0,0,0,8.53,0,0,0,0,0,0,0,21.12,0,0,0,30.34,0,0,0,0,0,2.41,0,0,0,8.91,0,0,0,0
