stage,eye,immune,mucous,visceral.smooth.muscle
 36-46,0,0,0.77,0
 48-58,0.38,4.33,0.89,0
 72-82,0,1.37,0,0
 84-94,0.72,3.25,0,0
 96-106,0,6.79,0,0.69
108-118,0,2,0,0
