stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,85.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.16,0,0,0,0,0,0,36.13,1.49,0,0
 24-34,0,0,0,1.75,0,0,1.47,0,0,0,0,0,1.89,0,0,383.08,0.69,0,0,0,0,0.64,115.72,0,0,0
 36-46,0,2.05,0,38.7,0,0.88,2.84,0,0,0,0,0,0,0,0,817.32,6.19,1.14,0,2.94,0,0,137.63,0,0,0
 48-58,0,3.6,0,254.7,0,0.72,27.47,0,0,0,0,0,7.55,0,0.5,1237.11,0.56,1.12,0,0.77,0.53,0,191.55,0,0,2.3
 60-70,0,11.5,0,722.47,0,0,30.21,0,0,0,2.25,6.38,0.9,0.99,0,1142.44,0,0,0,2.7,0,0,115.88,1.17,0,0
 72-82,0,1.56,0,936.91,0,0,21.42,0,0,6.84,0,0,5.7,2.69,0.82,1144.47,0,2.41,0,1.38,0,0,71.16,0,0.56,6.57
 84-94,0,3.99,0,518.83,0,0,23.54,0.68,0,0,0,0,6.31,2.36,0.6,634.6,0,0,0,6.71,0,0,38.77,0,0,0
 96-106,0,0.81,1.32,350.17,0,0,24.96,0,4.04,0,0,0,7.93,0,0,472.15,0,0,0,2.04,0,0,35.65,0.68,0,0
108-118,0,6.03,0,328.51,0.5,0,15.68,0,0,0,0,0,5.32,1.86,1.14,483.27,0,0.86,0,0,0,0,5.82,0,0,0
120,0,6.2,0,160.06,0,0,15.36,0,0,0,0,0,1.52,0,0,514.75,0,0,0,0,0,0,11.18,0,0,0
