stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,immune,mesenchyme,mucous,mural.cell,muscle,neural,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.09,0,0,0,0,0,0,0
 10-12,4.21,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,26.75,0,0,0,0,0,0,0
 48-58,0,0,0,2.85,0,4.73,0,0,0,0,0,141.48,0,0,1.93,0,0,0,0
 60-70,0,0,0,5.39,0,1.43,0,0.85,0,0,0,509.13,0,0.57,4.91,0,0,0,0
 72-82,0,4.74,1,34.01,0,33.08,0,13.23,0,0,0.81,648.93,2.23,1.2,16.08,1.34,0,2.26,6.66
 84-94,0,1.85,0,10.65,0,1,0.72,2.12,0,0,0,215.85,0,0.58,10,0,0.83,0,0
 96-106,0,0,0,21.81,1.19,0,0,2.06,0,2.17,0,218.25,0,0,0,0,0,0,0
108-118,0,0,0,0,0,20.39,0,4.35,0.71,0,0,341.02,0,0,14.65,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,237.99,0,0,5.56,0,0,0,0
