stage,blastomeres,erythrocytes,eye,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature
  5-6,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,13.65,0,8.34,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,1.5,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.8,0,1.78,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,6.73,2.33,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,8.36,0,0,0.56,2.43,0,0.59,0,0,0,0,0
 60-70,0,0,0.73,0,0,0,0,0,0,0,0.72,1.23,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.45,0.9,0,0,0,0,0.62,0,0.93,0,0,0,7.16,0,0,0,0
 84-94,0,0,0,0,1.86,0,0,0,0,0,0,0,0.57,0,2.32,16.12,0,0,0,0
 96-106,0,1.8,7.59,1.56,4.11,1.7,0,0,0,1.05,0,5.07,2.35,0,0,15.96,0,0,0,0
108-118,0,0,0,1.25,3.46,0,0,0,0.61,5.51,0,3.68,3.99,0,0,8.76,0,0,0.6,0
120,0,0,0,0,3.98,0,1.1,10.01,1.02,1.23,1.2,14.58,0,0,0,31.03,0,3.82,0,1.66
