stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.54,2.28,29.19,3.77,0,8.42,0,1,0,9.29,1.83,0,0.81,0,0,0,0,0,0,41.43,0,0,15.65,182.03,20.19,1.02,3.36,5.33,0,1.15,12.55,10.21,14.34,88.27,95.42,0,0,13.67,0,1.17
 24-34,0,0,0.79,27.47,0,0,65.28,2.48,11.04,2.7,15.35,0.92,0,1.49,8.02,0.68,1.45,0.75,0,0,93.95,1.65,1.72,55.07,333.37,8.1,1.95,3.44,0,0,30.73,0,3.02,7.43,13.17,121.51,0,0,28.77,0,3.06
 36-46,0,0,0.96,8.05,0,0,136.57,6.24,10.68,5.42,41.88,0,0,8.22,0.68,0,0,0.67,2.7,1.89,133.2,3.06,2.26,27.01,365.36,3.59,1.42,7.02,0,0,33.76,0,0,22.94,0.6,128.52,0,1.37,3.34,0,23.83
 48-58,1.15,0,0,18.01,0,0,222.34,13.37,5.72,9.76,78.99,2.3,0,2.85,0.94,0.5,7.81,0,4.65,12.87,156.37,6.94,3.7,25.21,204.96,3.81,8.48,8.23,13.27,0.4,46,0,0,5.7,0,104.99,0,1.22,5.87,0,46.91
 60-70,0,0,0,18.88,0,0,341.85,14.16,17.79,3.75,138.11,8.59,0,3.15,6.57,4.25,12.8,1.68,13.25,3.66,276.46,23.33,11.08,20.33,227.67,3.21,0,9.43,0,0,50.18,0,5.02,11.36,0,63.2,0.61,6.09,13.71,6.3,33.51
 72-82,0,3.44,1.67,24.52,4.25,0,278.45,17.28,2.5,9.95,132.99,10.04,0.59,4.11,7.7,4.06,14.21,4.93,5.54,10.03,269.84,31.23,15.01,24.55,303.64,1.4,5.17,14.19,0,13.53,43.77,0,0.64,13.78,0,48.41,4.42,7.26,32.07,16.59,29.62
 84-94,0,7.39,1,47.08,7.21,3.42,244.15,3.34,9.46,11.07,79.14,25.5,0,0,8.75,6.3,5.01,1.91,12.08,2.84,204.35,22.73,9.81,8.27,257.26,6.58,5.05,12.75,0,1.6,99.12,0,5.19,13.12,0,23.86,3.48,9.8,28.2,8.05,6.93
 96-106,0,2.86,2.64,35.28,12.02,12.48,254.75,19.51,14.72,8.9,125.54,22.12,0,8.65,16,8.27,5.67,4.09,27.59,3.85,224.79,15.84,9.11,19.86,316.2,3.06,5.3,22.45,0,23.72,159.26,0,6.02,15.31,0,27.42,3.25,3.82,29.13,12.94,10.06
108-118,0,0,1.42,61.29,9.06,6.84,210.01,29.55,26.34,2.08,103.7,27.87,2.74,6.46,17.79,18.9,39.12,2.63,24.42,5.53,259.59,25.69,15.61,30.95,301.5,6.1,4.55,23.24,0,20.3,127.64,0,0.99,18.35,0,18.62,12.56,3.66,24.23,15.43,18.53
120,0,10.11,0,49.56,9.11,2.35,229.87,27.78,18.6,1.67,87.93,80.98,0,1.61,33.62,0,6.13,6.69,36.39,1.55,257.74,5.49,2.58,18.52,573.65,10,12.7,12.58,0,5.08,163.71,0,1.04,13.52,0,63.16,6.15,23.53,59.2,19.68,2.08
