stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,107.54,2464.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.65,0,0,0
  5-6,137.28,2248.61,0,0,0,0,0,0,0,0,0,14,0,0,0,27.96,78.85,0,0,0
  7-9,4.9,15.88,3.29,0,15.99,0,0,5.76,0,0,0,265.28,20.42,0,0,52.52,0,0,0,0
 10-12,0,6.56,4.87,0,30.62,0,0,6.61,0,0,0,211.85,0,0,0,5.03,0,24.16,0,0
 14-21,0,0,2.52,5.04,1.14,1.27,0,0,0.92,0,2.47,18.3,0,1.79,5.26,0,1.79,0.81,0,2.64
 24-34,0,0,0,1.78,4.81,2.06,0,0,0,0,0.69,29.18,0,4.35,0.68,0,5.88,0,0.59,7.91
 36-46,0,0,0,1.86,2.14,3.87,0,0,0,0,0.91,28.33,0,4.08,0.85,0,0.9,0,0,6.78
 48-58,0,0,0,0,4.04,0.79,0,0,0,1.93,0,12.44,0,2.65,0,0,3.47,0,0,3.23
 60-70,0,0,0,1.52,4.2,0,1.27,0,0,2.55,0,8.37,0,0,0,0,0.59,0,0,0
 72-82,0,0,0,3.04,2.25,0,0,0,0,0,1.09,11.89,0,0.6,0.51,0,1.6,0,0,0.85
 84-94,0,0,0,0,0.86,0,0,0,0,0,3.28,2.55,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.75,7.01,0,0,0,0,0,1.64,2.67,0,1.46,0.62,0,0,0,0,0
108-118,0,0,0,2.1,0.55,1.14,0,0,0,0,0.99,2.05,0,0.55,0,0,0,0,0,0
120,0,0,0,0,0,1.45,0,0,0,0,9.89,0,0,0,0,0,1.17,0,0,0
