stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.58
 24-34,0.81,12.21,0,0,14.52,0,0,0,0,1.08,0,0,9.01,0,16.81,9.15,0,1.64,113.76,0,2.45,0,10.83,0,1.64,13.05,0,0,7.25,3557.43
 36-46,0,0.9,0,0,16.22,0,0,0,7.92,0,5.39,0,25.23,21.68,150.2,4.75,0,1.57,84.29,0,3.19,0,1.42,7.84,0,25.71,0,0,0,7091.31
 48-58,0,4.24,0,0,47.68,0,0.41,0,6.03,0,1.12,0,62.98,5.56,300.26,6.67,0,1.47,138.81,0.56,0,0,2.18,3.39,0,17.01,0,0.85,0.48,8874.92
 60-70,0,7.87,0,0,73.92,1.68,0,1.52,4.22,0,2.56,0,8.99,0,337.94,5.34,0,0,89.44,0,0,0,3.61,0,0,10.08,0,0,0.74,9152.18
 72-82,0,1.34,0,0,120.17,0,1.37,6.57,2.08,0,0,2.05,28.27,5.37,408.11,10.46,0.78,0,78.19,0,6.36,0,3.32,0,0,13.94,0,0,1.18,7268.39
 84-94,0,3.15,11.16,0,186.16,0,0.97,0,3.41,0,0.78,1.42,27.62,0,608.17,33.25,1.07,0,66.6,0,0,0,5.09,0,0,3.71,0,1.48,10.81,5126.84
 96-106,0,6.85,11.48,0,175.71,0,0,1.02,16.88,0,4.9,0.68,10.22,0,268.08,17.99,1.38,0,79.44,0,3.82,0,8.4,0,0,6.34,1.23,0,0.92,4857.58
108-118,0,0,5.28,14.37,101.38,0,0,0,8.22,1.47,0,0,18.42,12.44,501.61,6.49,0,0,78.04,1.17,0.88,8,5.27,0,0,0,0,0,0.52,4552.05
120,0,1.34,0,0,27.33,0,0,0,4.93,1.26,0,0,0,0,206.99,1.7,0,0,25.1,0,0,5.22,1.09,9.87,0,0,0,0,0,1810.7
