stage,endoderm,epidermis,eye,fin_epithelia,glial,gut,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,spinal_cord,vasculature
 14-21,1.07,7.88,0,0,0,0,0,0,0,1.04,5.04,0,0,4.65,0
 24-34,0,0,0,0,2.57,0,0,1.18,0,0,18.11,1.87,1.66,2.21,0
 36-46,0,0,1,0,2.66,0,0,0.61,0,0,15.63,0,0.99,5.16,0
 48-58,0,0,6.37,0,4.06,0,0,0.77,0,0,26.46,0,0,3.67,0
 60-70,0,2.38,12.04,0,2.63,0,0,6.27,0,0,30.99,0,0,3.99,0
 72-82,0,0,7.61,0,5.77,0,0,7.07,0,0,55.56,2.88,1.37,0.81,0
 84-94,0,0,3.03,0,1.59,0,0.79,5.95,1.56,1.13,38.4,2.26,4.38,1.15,0
 96-106,0,0,9.47,0.56,3.71,0.66,0,5.31,0,0,0,0,2.55,0,0
108-118,0,0,0.45,0,1.66,0,0,3.02,0,0,18.88,1.41,4.29,3.57,0.54
120,0,0,10.5,0,0,0,0,5.73,0,0,3,0,0,17.7,4.32
