stage,blastomeres,epidermis,immune,neural
  3-4,11.44,0,0,0
  5-6,43.15,0,0,0
 72-82,0,0,1.67,0
 84-94,0,0,1.16,3.9
 96-106,0,0,5.54,0
108-118,0,0,9.28,0
120,0,1.66,35.34,0
