stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.84,57.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.24,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.23,0,0,0,9.98,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.02,1.02,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,20.51,0,0,0,2.06,0,0,2.07,0,0,3.65,4.02,0,0,0,0,0
 24-34,0,0,0,0,1.82,0,3.28,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,1.29,69.02,0.85,1.45,0,0,0,4.71,0,0,0,0,3.6,0,0,10.61,0,2.64
 36-46,0,0,0,0,0,0,3.45,0,0,0,0.97,0,0,0,0,0,0,0,0,0,1.19,0,0,1.72,87.94,2.01,5.88,0.63,0,0,5.33,0,0,0,0,28.94,0,0,1.17,0,0
 48-58,0,0,0,0,0,0,15.33,0,0.62,0,10.79,0,0,0,0,0,0,0,0,0.39,7.97,0,0,1.85,115.65,0.72,0,0.39,0,0,0.92,0,0,4.21,0,11.84,0,0,4.36,0,0
 60-70,0,0,0,0,0,0.56,94.92,0,0,0,10.94,0,0,0,0,0,0,0,0,0,9.68,0,0,0,75.34,0,1.23,1.26,0,0,6.16,0,0,0,0,25.59,0,0,0,0,1.75
 72-82,0,0,0.69,0,3.76,5.84,92.38,2.65,0,7.63,12.67,0,0.52,0,0,0,0,0,0,0,14.07,0,0,0,109.41,0,0.91,1.88,0,0,4.91,0,0,0,0,14.63,1.24,0,5.73,0,0.99
 84-94,0,0,0,0,4.12,2.49,99.41,0,0,1.19,19.23,0,0,0,2.26,0.6,0.61,0,5.39,0,39.78,0,0.94,0,81.84,0,5.25,5.06,0,4.76,4.38,0,0.73,0,0,19.58,0,2.64,0,4.11,4.4
 96-106,0,0,0,0,2.71,4.57,45.85,0,1.15,2.42,13.92,1.49,0,0,0.74,0,2.22,0,0,0,23.58,6.51,0,0.83,77.54,0,0,1.08,0,1.28,8.36,0,0,0,0,3.59,1.83,0,1.74,0,0
108-118,0,0,0,0,1.96,3.72,82.81,0,0.43,2.99,19.5,1.61,0,1.52,4.35,0.99,7.44,0,0,0.43,31.09,0,0.94,2.41,185.1,0,0,0,0,0,5.73,0,0,0,0,3.54,0.44,0,3.13,0.7,0.75
120,0,0,0,0,0,0,32.62,2.05,0,0,6.95,1.12,0,0,5.19,2.86,0,10.42,0,0,4.87,0,13.12,0,134,0,1.61,1.05,10.96,0,2.64,0,0,0,0,0,0,0,0,0,3.64
