stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste
  3-4,28.52,29.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0
  5-6,18.2,157.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.28,0,0,13.97,5.78,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,3.78,0,0
 14-21,0,0,0.86,1.87,0,0,0,0,0,0,0,0,0.92,0,0,0,0.83,1.07,0.88,0,2.48,0,0,0
 24-34,0,0,0,3.49,0,0,0,0,0,1.89,0.85,0.74,1.44,1.61,0,0,5.37,0,0,0,8.12,0.74,1.4,0
 36-46,0,0,0,0,0,0.78,0,0,0,3.61,0,1.24,0,1.44,0,0,3.44,0.6,0.71,0,7.56,0,0.57,0
 48-58,0,0,0,0.51,0,0,0,0,0,0,0,1.87,0,3.15,0.41,3.25,0.46,0,0,0,6.09,3.12,0,0
 60-70,0,0,0,0,0,0,0,0,0.85,0,0,0,1.81,0,0.81,0,4.36,0,0,0,2.87,0,0,0
 72-82,0,0,0,1.52,0,12.93,2.44,1.47,0,1.92,0,1.24,0.75,8.41,0,0,3.35,0,0.67,0,13.18,0,0,0
 84-94,0,0,0,6.02,0,0,0,0.8,4.59,1.52,0.67,0,1.62,12.75,0,0,5.19,0,0,0,27.36,2.46,0,0
 96-106,0,0,0,5.56,10.85,0,0.63,0.56,1.62,1.76,0,0,0,4.96,0,0,0,0,0,0,11.26,3.53,0,0
108-118,0,0,0,7.45,0,0,0,3.28,6.23,3.78,0,0,0,4.12,0,0,8.79,0,0.79,0,25.35,9.89,0,1.25
120,0,0,0,5.76,0,0,0,1.51,5.01,15.93,0,0,13.33,3.01,0,0,12.7,0,14.25,0,36.84,1.26,0,0
