stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.46,0,0,0,6.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.37,0,0,0,15.46,0,0,0,6.51,0,4.89,0,0,0,0,0,0
 14-21,0,0,1.49,5.38,1.76,0,6.31,0,0,0,1.16,0,0,0,0,0,0,0,0,42.82,0,0,49.18,67.75,0.82,0,0,0,0,1.76,54.83,0,2.18,3669.71,38.33,0,0,0,0,0
 24-34,0,0,0,3.9,0,0,18.58,29.7,0,0,1.42,0,0,0.72,0.83,1.29,0,0,0,62.2,0,0,34.32,420.62,1.28,140.48,1.38,0,0,2.41,4.29,0,0,857.19,549.48,0,0,3.38,0,0.79
 36-46,0,0,0,6,0.73,0,40.79,107.26,0,0,1.59,0.61,0,11.68,0,5.13,0,0,0,20.01,0,1.66,29.7,584.18,0,84.13,0,0,0,24.03,0,0,0,29.5,654.75,0,0,0,0,8.7
 48-58,0,0,0,5.82,2.7,0,186.29,78.89,0,0.94,28.36,1.54,0.39,46.19,0,0.41,0,0,0,43.6,0,0,41.33,1051.43,0,33.97,2.13,0,0,10.2,0,0,3.46,0,553.16,0,0,2.92,0,3.1
 60-70,0,0,0,8.22,0,0,250.26,64.9,0,0,15.67,2.86,0,51.13,0,1.85,0,4.39,9.71,15.35,0,0.69,58.53,1101.72,0,5.42,1.26,0,0,14.2,0,0,1.94,0,321.44,0,0.8,5.11,0,3.6
 72-82,0,0.88,0,2.38,0.59,0,217.24,24.41,0,0.75,10.71,3.76,0,68.03,0,0,0.62,2.65,0,31.69,0.6,0,41.54,986.88,0,25.25,0.95,0,1.2,35.43,0,0,3.62,0,154.18,0,3.25,2.19,0,2.33
 84-94,0,0,0,8.68,8.37,0,120.28,19.29,2.88,0,11.77,0.95,0,80.93,0,1.49,0,0,4.67,16.73,0,0,36.58,554.73,0,27.27,1.19,0,0,37.85,0,0,0.64,0,130.26,0.74,2.07,4.56,0,0
 96-106,0,0,0,6.89,6.58,0,109.71,46.08,3.26,0,10.73,0,0,87.62,0,0,0,3.67,1.06,16.84,1.92,0,24.51,578.69,0,39.36,2.4,0,0,62.11,0,0,0.71,0,21.33,0,0.68,0,1.13,5.49
108-118,0,0,0,6,2.26,0.52,119.28,38.23,0.55,1.18,24.58,0,0,75.15,3.08,3.2,1.16,0.77,0,13.42,2.42,0,65.8,511.12,0,22.83,1.83,0,0,51.34,0,1.06,0.98,0,41.42,1.77,1.19,3.2,1.13,2.22
120,0,0,0,10.25,0,0,265.76,44.37,8.05,4.45,103.69,8.41,0,82.17,6.31,12.3,11.95,0,0,38.74,2.05,0,81.87,1000.41,0,41.68,4.96,0,0,45.13,0,1.02,0,0,214.4,0,0,0,4.11,0
