stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,0,0
  5-6,0,17.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,9.02,0,0,0,0,0,0,0
 10-12,0,0,0,3.63,0,0,0,0,0,0,0,0,0,14.56,0,0,0,0,0,0
 14-21,0,0,1.52,0,0,0,0,0,0,0,3.48,0,6.45,0,0,1.58,0,1.87,1.73,0
 24-34,0,0,0,0,0,0,0,0,0,0,4.16,0.88,14.37,0,0,0,0,0.65,7.21,0
 36-46,0,0,0,0.8,0,2.25,0,0,0,0,1.68,0.71,4.08,0,0,0,0,0,6.6,1.39
 48-58,0,0,0,0.59,0,0,0.41,0,0,0,2.77,0,19.78,0,0,0,0,0,4.6,0
 60-70,0,0,0.57,2.22,0,0,0,2.96,0,0,0.9,0,3.99,0,0,0,0,0,4.79,0
 72-82,0,0,0.79,11.24,0,0,0,0,0,0,0,0,15.13,0,0,0,0,0,8.45,0
 84-94,0,0,0,0.56,0,0,0,1.23,0,0,0,0,10.28,0,0,0,0.6,0,0,0
 96-106,0,0,0,0,0,0,2.58,0,0.59,0,9.85,0,0.98,0,0,0,0,0,3.25,0
108-118,0,0,0,4.17,0,0,0,0,3.15,0,0,1.69,4.21,0,0,0,0,0,0,2
120,0,0,0,3.12,2.34,0,0,2.35,0,3.56,10.6,0,10.82,0,0,0,0,0,0,3.73
