stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.83,0,0,0,12.84,0,0,0,0,0,0,0,0,0
 10-12,0,27.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72,0,0,0,5.87,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.69,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,13.08,1.7,0,1.09,0,0,1.09,1.17,1.98,3.48,0,1.78,0,0
 36-46,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,2.17,0,0,0,31.1,0,0,0,0,0,0,0,0,4.81,0,0,0,0
 48-58,0,0,0,0,0,7.06,0.68,0,0.65,0,0,0,0,0,0,6.82,0,0.56,0,10.71,0,0,13.29,0,0,0.71,0,0,1.12,0,0,0,0
 60-70,0,0,0,0,0,11.32,0,0,1,0,0,0,0,0,0,81.61,0,0,0,12.94,0,1.19,112.76,0,0,0,0,0,1.68,0,0,0,0
 72-82,0,0,4.52,0,0,58.94,0,0,3.47,0,0,0,0,0,1.88,431.83,0,0,1.83,54.45,0,0,270.86,0,0,0,0,0,1.29,6.36,1.99,34.87,0
 84-94,0,0,0.86,1.04,0,92.45,0,0,1.29,0,0,0,0,0,0,622.04,0,0,1.92,18.97,0,0,385.69,0,0,3.05,0,0,3.67,9.57,1.04,27.14,0
 96-106,0,0,92.51,14.51,0.63,131.58,0,2.28,3.91,0,0,0,0.74,0,0,1874.01,0,18.1,6.23,86.7,0,0,1254.6,0,0,4,0,0,0,14.78,0,15.37,9.22
108-118,0,0,1.67,2.95,0,66.03,0,2.02,5.99,0,0.49,1.24,4.26,0.81,0,1640.64,4.42,0,0,75.78,0,0.95,994.27,0,0.76,4.54,0,0,0,17.34,0.75,15.31,0
120,0,0,11.94,0,0,41.61,0,4.6,2.04,2.41,12.14,0,0,0,0,1976.98,0,4.25,20.28,65.83,7.42,0,1555.39,0,0,0,0,0,0,2.63,0,5.47,0
