stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,1.12,0,1,8.12,0,0,0,0,0,1.01,2.05,0,0,0
 24-34,0,0.77,1.79,0,0,0,0,0,2.52,0,1.04,18.31,0,0,0,3.36,2.03,0.61,5.01,0,0,0
 36-46,0,2.31,0.81,1.99,0,0,0,0,0,0,0.62,16.56,0,0,0,7.24,0,0,0,0,4.56,0
 48-58,0,4.66,6.83,0.52,0,1.09,0,0,0.4,0.52,0,9.74,0,0,0,0,2.11,0,2.99,0,0,0
 60-70,0,0.97,8.76,0,0,0,0,0,0.59,0,0,11.78,0,0,1.81,2.94,7.67,0,6.45,0,0,0
 72-82,2.87,0,21.7,0,0,4.07,0,0,9.95,0,0,9.26,5.96,0.52,0,0,0,0,0,0.87,4.95,0
 84-94,0,0,11.89,1.97,0.96,0,0,0,4.38,0,0,2.72,0,0,0,1.01,0,0,0,0,2.98,0
 96-106,0,0,4.23,0,0,0,0.81,0,0,0,0,3.46,0,0,0,1.37,0,0,0,0,0,1.24
108-118,0,0,1.57,0,0,5.44,0,0,3.51,0.72,1.1,19.15,0,0,0,0.49,0.96,0,0,0,0,1.97
120,0,0,6.94,1.09,0,0,4,13.95,0,0,0,44.77,0,0,0,3.64,0,0,0,0,0,0
