stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,23.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,16.67,0,8.77,0,0,0,0,0,0
 14-21,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,1.22,2.13,0,0
 24-34,0,0,0.6,0,0,0,0,2.35,0,0,2.67,0,0,0,0,0,1.01,0.65,0
 36-46,0,0,4.05,0,0.57,1.08,0,0.65,0,0,7.69,0,0,0,3.06,0,0,0,0
 48-58,0,0,0.42,0,0,0,0,0.45,0,0.89,0.39,0,0,0,0,0,0,0.39,0
 60-70,0,0,19.59,0,0,0,0,2.11,0,0,2.05,0.79,0,0,0,0,0,1.81,0
 72-82,0,0,1.79,0,0,2.92,0,2.81,0.51,0,2.27,0,0,0,0,0,0,0,0
 84-94,0,0.9,3.23,0.56,0,0.9,0,3.61,0,0,1.01,1.2,0,0,0,0,2.11,1.08,0.61
 96-106,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,5.74,0,0,0.76,0.85,7.89,0,0,1.42,0,0,1.65,0,0,0,0,0
120,0,0,0,0,0,0,0,6.01,0,0,1.72,0,0,0,0,0,0,1.48,0
