stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,83.94,1529.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,0,0,0,0,0,0,0,0,0,0
  5-6,150.68,1719.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.82,0,0,0,9.65,0,42.02,0,0,0,0,0,0,0,0,0,0
  7-9,37.6,60.2,77.99,0,0,178.22,0,0,0,0,38.71,0,0,0,0,0,0,0,1459.44,25.61,0,0,523.95,0,3.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,109.44,162.74,0,14.23,310.29,0,0,0,0,74.27,0,0,0,0,0,0,0,2437.09,81.86,0,0,743.3,0,0,6.79,0,55.69,0,11.52,0,0,0,0,0
 14-21,0,0,3.3,25.86,13.57,6.01,0,0,2.35,2.14,0,0.89,0,0,0,0,15.94,16.7,125.36,0,0,0,0,0,0,0.91,34.03,34.5,3.63,43.71,21.54,0,0,0,0
 24-34,0,0,0,13.97,3.14,24.19,1.33,0,2.58,0,0,0,0,0,5.19,1.09,27.1,15.77,267.72,0.79,4.9,0.74,0,0,0,0,0,23,6.05,11.33,49.98,0,3.89,0,0
 36-46,0,0,0,1.35,0,23.73,0,0.96,7.03,0,0,1.25,0,0,0,0.66,12.04,2.76,98.64,0,0,0,0,0,0,0.98,0,21.23,0,0,9.55,0,0,0,1.11
 48-58,0,0,0,0.44,0,24.45,0,0,10.15,0,0,1.06,0,0,0,1,10.32,1.57,69.26,0.39,4.84,0,0,0,1.16,0,0,17.6,0,0,19.47,0,0.86,0,0
 60-70,0,0,0,0.59,0,43.95,0,0,12.79,0.65,0,3.54,0,0,0,2.31,11.44,3.63,67.61,0,0,0,0,0,0,0,0,13.59,0,0,6.43,0,1.24,0,8.53
 72-82,0,0,0,0,4.52,65.2,0,0.82,14.53,3.11,0,1.53,0.59,0,1.31,0,4.9,4.77,59.13,0,0,0,0,0,0,0,0,9.42,0,0,0,0,2.65,0,15.16
 84-94,0,0,0,0.66,0,54.21,0,0,8.54,3.32,0,1.06,0,0.58,0,10.76,4.5,0,7.78,0,0,0,0,0,0,0,0,4.34,0,0,5.22,0.68,0,0,0
 96-106,0,0,0,0,18.4,47.92,0,0.63,16.54,2.46,0,4.27,0,0,0,0,4.26,0,23.65,0,0,0,0,1.67,2.72,0,0,5.03,0,0,0.98,0,0,0.93,0
108-118,0,0,0,0,6.82,22.98,0,0,1.75,0.69,0,2.08,0,0,0.9,0,3.61,0.43,14.35,0,0,0,0,0,0,0,0,4.29,0,0,0,0,0,0,0.74
120,0,0,0,0,0,66.94,0,0,16.48,1.34,0,0,0,0,0,0,3.93,0,16.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
