stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.99,0,0,0,0,0,0,0,0
  5-6,7.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.02,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.64,0,0,0,15.23,0,55.92,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,11.68,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,26.8,0,0,0,4.36,0,44.33,0,40.63,0,0,0,0,0,0
 14-21,0,0,4.66,0,0,0,0,0,0,0,0,1.93,0,0,0,0,0,0,0,1.31,0.89,0,3.95,0,0,0,0,0,459.53,0.83,0,0.98,0,0,0,0,0
 24-34,0,0,1.46,0,0,3.66,0,0.7,0,0,0,0,0.62,0,1.33,0,0,0,0,1.94,2.77,3.49,26.48,0,0,0,0,0,582.67,0,0,4.3,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96,0,0,0,0,2.91,2.69,0,16.48,0,0,0,0,0,643.41,0,0,3.37,0,0,0,0,7.23
 48-58,0,0,5.36,0,0,8.63,0,2.32,0,1.63,1.53,0,0,0,0.81,0,0,0,7.61,2.96,7.26,0,24.35,0,0,0,0,0,582.02,0,0,10.37,0,0,0,0,1.34
 60-70,0,0,21.91,0,0,18.14,0,7.1,0,1.09,0,0,0,0,0,0,0,0,0,0.58,5.48,0,24.84,0,0,0,0,0,478.83,0,0,8.77,0,0,0,0,0
 72-82,0,0,62.28,0,0,20.18,0,6.41,0.62,3.61,2.27,0,0,0,2.97,3.11,0,1.65,0,1.24,2.85,9.35,35.03,0,0,2.02,0,0,504.28,0,0,0,1.39,0,0,0,0
 84-94,0,0,119.74,4.42,0,21.31,0,17.71,0,1.83,4.03,0,0,0,15.83,0,0,0,0.83,1.89,13.36,0.79,1.79,0,0,0,0,0,1364.25,0,0,0,7.27,0,0,0,0
 96-106,0,0.74,215.07,2.48,0,46.18,4.47,26.07,3.06,5.09,9.27,0,1.24,0,20.94,0,2.25,8.31,0,5.74,21.5,0.9,64.74,0.73,1.31,1.29,0,1.17,1859.33,0,0,3.16,6.52,0,4.75,0,0.73
108-118,0,0,209.19,1.68,0,20.05,0,35.9,2.02,5.79,7.26,0,0.47,0.42,30.44,0,0,1.1,0,11.11,19.61,0.77,30.73,0,0,0,0,0,1482.62,0,0,0,8.2,2.74,1.64,1.52,0
120,0,0,162.17,0,1.89,0,0,24.53,0,0,3.82,0,0,0,6.87,0,0,0,0,3.48,14.55,1.86,27.3,0,0,2.28,0,0,707.3,0,0,0,7.94,0,0,0,0
