stage,axial,blastomeres,erythrocytes,eye,fast.muscle,glial,heart,muscle,neural,paraxial.mesoderm,periderm,slow.muscle
  3-4,0,39.8,0,0,0,0,0,0,0,0,0,0
  7-9,7.04,0,0,0,0,0,0,0,26.02,3.23,0,0
 10-12,0,0,0,3.65,0,0,0,0,4.76,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.32,0,0,0
 48-58,0,0,1.54,0.75,1.94,0,0,0,4.11,0,0,1.35
 60-70,0,0,0,1.27,1.42,0,0,3.86,0,0,0,0
 72-82,0,0,0,0,6.13,0,0,0,15.59,0,0,1.5
 84-94,0,0,0,0,0,0.74,1.92,0.67,13.47,0,0,0
 96-106,0,0,0,0,2.83,0,0,1.81,4.56,0,0,0
108-118,0,0,0,0,0.72,1.82,0,0,19.37,0,3.09,0
120,0,0,0,0,0,5.29,0,0,13.64,0,0,0
