stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.28,196.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0,0,0,0,0,0,0
  5-6,0,129.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,8.39,0,0,0,0,0,0,0,0,0,0,0,15.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.2,0,0,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,101.66,3.39,0,0,7.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,31.48,10.07,0,0,0,0,0,3.03,0.98,0,1.15,0,1.76,0,0,0,0,5.04,0,0,0,22.86,0.81,0,0,0,0,13.2,3.44,0,0,1.08,8.91,0,0,0,0,0
 24-34,0,0,0,21.73,0,0,7.98,0,2.62,0.72,8.93,0.63,0,0.8,0,2.16,0,1.69,0,2.06,32.18,0.7,0,19.19,115.12,3.08,9.01,2.29,0,0,16.54,0,2.65,0,0.6,33.18,0,0,34.39,0,4.4
 36-46,0,0,0,28.01,0,0,5.33,3.05,5.91,8.64,11.28,0,0,1.32,2.6,1.63,0,3,1.94,15.36,80.27,0,0.72,13.43,119.24,0.6,14.84,1.38,0,2.85,31.75,0,5.5,0,0,30.61,0,0,10.9,0,11.36
 48-58,0,0,0,14.85,2.38,0,15.56,0.67,15.31,3.41,21.63,0,6.6,1.52,6.26,3.23,0,0,1.04,2.02,92.19,2.41,1.76,7.08,98.69,0,4.56,6.61,0,1.58,45.23,0,0.47,0,0,15.96,0,0,8.61,0,9.8
 60-70,0,0,0.86,34.09,1.58,0,7.06,0,12.65,0,40.72,0,3.35,0.66,15.59,1.73,2.26,4.65,1.19,0,191.73,1.41,3.26,13.65,101.26,9.88,2.04,1.82,0,0,16.9,0,7.44,3.07,0,10.41,0,1.58,16.21,0.98,7.13
 72-82,0,0,2.61,12.42,29.22,0,21.61,0,1.67,6.18,26.18,4.43,0,0.92,14.89,0.54,7.74,1.98,0,0.5,182.48,1.06,2.33,8.01,49.45,0,9.49,6.79,0,1.78,15.58,0,5.64,0,0,1.7,0.53,4.94,30.92,2.9,11.77
 84-94,0,0,0.56,38.39,19.64,0,21.64,3.76,4.79,8.79,24.92,14.32,2.11,1.84,6.72,1.01,10.8,2.83,0.83,0,168.18,0,7.42,14.95,45.1,3.78,5.27,11.34,0,1.91,47.36,0,0,0,0,2.57,5.46,2.94,22.38,5.11,6.84
 96-106,0,0,1.8,20.06,34.09,0,29.73,0.93,1.4,1.81,28.87,7.69,0,0,16.51,0.78,3.33,7.67,1.39,0,140.46,0,8.65,6.88,39.91,0.68,0.56,11.01,0,0.79,37.17,0,0.7,0,0,1.93,4.83,1.32,18.38,2.87,11.72
108-118,0,0,0.98,42.23,25.82,1.72,18.19,2.99,9.71,6.68,62.77,9.89,0,1.81,12.83,1.14,12.97,3.02,1.18,3.34,184.86,2.4,6.36,6.62,49.46,1.19,0.93,6.24,0,14.31,20.27,0,0,0,0,3.64,2.86,0,27.42,3.36,2.51
120,0,0,0,57.14,16.21,0,25.44,5.69,13,4.88,65.64,33.01,0,1.85,30.69,2.21,1.91,9.94,6.42,0,213.99,1.56,2.22,14.23,20.13,9.42,8.86,26.28,0,13.66,25.09,0,1.73,0,0,0,3.81,18.21,70.85,6.37,2.59
