stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.23,0,0,0,21.38,0,0,0,0,0,0,0,0
 10-12,0,0,14.91,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.82,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,28.57,0.92,1.44,0,0,0,0,0,25.14,0,0.98,0,0
 24-34,0,0,0,3.06,0,0,0.65,0,0,0,2.21,0,0,1.02,1.13,0,0,0,0,1.81,0,0,0,279.78,0,3.1,0,0,1.27,0,0,77.67,0,0,0,0
 36-46,0,0,0,0.94,0,0,8.07,0,0,0.57,9.05,0,0,0,0,0,0,0,0,5.16,0,0,3.56,929.45,0,5.5,0.7,0,0,0,0,143.34,0,0,0,0
 48-58,0,0,0,1.62,2.65,0,68.78,0.67,3.41,2.32,29.98,0,0.9,3.41,0,0,0.44,0,0.54,14.22,0,0,5.99,1775.59,5.13,1.59,0,0,2.77,0,0,201.64,0,6.98,0,0
 60-70,0,0,0,5.5,0,0,123.75,1.02,0,0.68,13.76,0,5.1,8.95,10.83,0,0,0,0,13.56,0,1.35,0,2403.63,0,1.43,8.4,0,8.9,0,1.01,301.46,0,0,0,2.58
 72-82,0,0,0,9.44,6.17,0,113.66,0,0,0.94,23.21,0,0,0.67,0,0,0,0,0.95,20.94,0,0.98,1.67,1767.47,0,3.82,0,0,4.85,0.49,0,208.66,0,0,0.89,0
 84-94,0,0,0,11.44,1.25,0,90.16,0,0,0.65,6.5,0,0,0,1.56,2.83,0,0,0,14.57,0.62,0,1.41,1177.27,0,7.17,0.69,0,3.06,0.62,0,131.71,1.79,0.57,0,0
 96-106,0,0,0,3.86,5.21,0,69.22,0,0,0,10.54,0.69,0.91,1.21,2.15,0,0,4.52,0,17.99,0,0,4.21,850.27,0,0.73,1.18,0,3.74,0,0,35.86,0,7.71,1.42,0
108-118,0,0,0,10.17,6.37,3.08,88.08,0,0,0,17.53,0,0,0.6,0.64,0,0,0,0,10.42,0,0,0,920.89,0.56,0.44,0,0,0.97,0,0,48.62,0,3.13,0,0
120,0,0,0,7.66,0,0,135.53,0,0,0,31.35,0,0,11.54,2.42,12.97,0,0,0,9.6,0,0,0,1462.32,0,0,19.23,0,2.96,0,0,20.41,0,0,5.18,0
