stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,40.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,0,0,0,0,0,1.09,0,0,0,0,0,1.01,1.4,0,0,7.89,0,0,0,0,0,1.2,10.54,0,0,0,0,0
 24-34,0,0.6,0,0.84,0,7.19,0,0,0.64,0,5.51,0,0,0,0,0,1.56,0,4.47,92,5.82,0,0,1.79,0,0,21.81,0,0,0,0,0
 36-46,0,0,0,0,0,66.2,0,0,2.05,0,0.95,0,0,0,0,0,0,0,0,282.77,0.91,0.89,0,0,0,0,74.91,0,0,0,0,4.81
 48-58,0,0,0,7.68,0,289.35,0,0,6.41,0,0.82,0,0,0,0,0,2.91,0.6,1.54,450.6,2.58,0,0,0,0,0,84.34,0,0,0,0,0
 60-70,0,0,0,0,0,1640.69,0,0,27.67,0,4.92,0,0.85,0,0,0,9.7,0,0,712.13,0,0.63,1.65,0,0,0,92.16,0,0,0,0,0
 72-82,0,0.5,0,6.08,0,976.52,0,0,43.82,1.38,0,0.5,0,0,1.36,0,11.11,1.12,0.97,537.84,2.49,0,0,0,0,0,36.92,0,0,1.02,0,0
 84-94,0,1.44,0,1.43,1.64,823.99,0.68,1.1,22.87,1.41,1.27,0,0,1.05,0,0,11.54,0,0,378.6,2.35,0,0,4.92,1.11,0,28.75,0,0,0,1.2,0
 96-106,0,0.95,0,2.87,5.59,467.09,0.58,0,23.8,0,3.67,0,1.63,0,8.31,0,4.25,4.16,0,312.65,9.43,0,2.41,2.45,0,0,7.29,3.47,0.56,0,0,0
108-118,0,0,0,1.26,0.44,338.39,0,0,49.2,0.73,3.06,0,0,0,0.97,0,3.43,8.66,3.19,288.09,3.85,0,0,0,0,0,19.06,0,0,0,0,0
120,0,0,0,4.34,0,310.05,4.71,0,51.87,0,2.11,0,0,0,0,0,27.84,6.89,0,485.61,2.49,0,0,0,0,0,17.31,1.81,0,0,1.59,0
