stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,312.15,5113.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.08,0,0,0,0,0,0,0
  5-6,60.14,1723.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.48,7.94,0,0,0,65.92,0,0,0,0,0,0,0
  7-9,14.44,0,0,7.25,0,0,19.99,0,0,0,0,3.2,0,0,0,0,0,0,0,0,260.32,6.66,0,0,116.43,0,45.58,0,0,0,0,0,0
 10-12,0,14.89,0,32.68,0,0,16.28,0,0,0,0,9.98,0,0,0,0,0,0,0,0,227.52,13.69,0,0,85.98,0,13.82,0,32.18,0,0,0,0
 14-21,0,0,0.82,0.86,54.38,11.18,1.92,0,0,1.92,2.31,2.63,1.5,0.95,0,0,0,14.54,0,6.45,90.48,0,1.02,0.93,0.95,1.11,13.05,32.6,3.19,2.72,17.22,15.88,0
 24-34,0,0,0,0,1.81,0,0.81,0.62,1.54,2.84,0,0,0,0,0,0,0.68,6.84,0.95,0,28.99,0,0,0,0,0.73,1.29,0,0,0,0.64,6.37,0
 36-46,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,1.4,6.92,0,2.77,0.69,0,0,0.81,0,0,0,0,4.49,0
 48-58,0,0,0,0,0,0,2.16,0,0,0.5,0,0,0,0,0,0,0,3.33,0,1.03,4.81,0,0,1.2,0,0,0.56,0,0,0,0,0.79,0
 60-70,0,0,0,0,0,0,3.97,0,0,0.76,0,0,0,0,3.07,0,0,2.73,0,0,10.56,0,0,0,0,4.03,0,0,0,0,0,1.73,0
 72-82,0,0,0,0,0,0.59,0.78,0,1.2,0,0,0,0,0,0,0.64,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,1.27,0.7,0,0,0,0,0.7,0,0,0,0,0,0
108-118,0,0,0,0.74,0,0,0.41,0,0.75,1.39,0,0,0,1.21,1.77,0,0,0,0,0.43,0.73,0,0,0,0,0,2.17,0,0,0,0,0,1.26
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0
