stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,48.11,89.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0
  5-6,142.87,197.18,0,0,0,0,0,0,23.84,0,0,262.2,14.47,0,0,51.32,0,0,0,0,0,0,0
  7-9,43.44,4.1,40.87,0,0,5.18,0,0,15.36,0,0,79.09,85.71,0,0,256.37,0,0,0,0,0,0,0
 10-12,0,15.23,7.34,0,0,0,0,0,4.34,0,0,43.94,12.59,0,0,159.26,0,0,3.54,0,0,0,0
 14-21,0,0,0,7.22,1.32,0,0,0,11.07,0,4.75,4.67,3.15,0,0,2.09,1.89,44.91,2.11,18.87,1.58,0,0
 24-34,0,0,0,0,0.62,0,0,0,0,0,1.04,1.92,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.43,0,0,0,0,0.94,0,0,0,0,2.33,0,0,0,0.67,0,0
 48-58,0,0,0,0,0,0,1.43,0,0,0,0,0.89,0,0,1.2,0,3.08,0,0,0,0.9,0,0
 60-70,0,0,0,0,0,1.38,0,0,0,0,0,1.16,0,0,0,0,2.27,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.16,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.87,0,0,0,0,0,1.2,0,5.61,0,0,0,0,0.92,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22
108-118,0,0,0,0,0,1.02,0,0.52,0,0,0,6.25,0,1.23,0,0,0.86,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,1.08,0,0,0,0,1.44,0
