stage,blastomeres,erythrocytes,eye,glial,heart,immune,ionocyte,mesenchyme,muscle,neural,periderm,spinal.cord,vasculature
  5-6,13.8,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,27.21,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.28,0,0,0
 14-21,0,3.31,0,0,0,0,0,5.55,2.32,0,6.64,0,1.69
 24-34,0,0.66,0.98,0,0,0,0,0,0,1.78,0,0.65,5.37
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.8
 48-58,0,0,0.58,0,0,0,0,0,0,0,0,0,0.73
 60-70,0,0,0,0,0,0.82,0,0,0,1.19,0,0,0
 72-82,0,1.96,2.28,0,0,0.53,0.57,1.86,0,0,0,0,4.32
 84-94,0,0,0,0,0.98,0,0,0,0,0.72,0,0,4.6
 96-106,0,2.07,0,2.97,0,0,0,0,0,0,0.59,0,0.71
108-118,0,0,0.84,0,0,0.63,0,0,0,4.45,0,0,3.68
120,0,0,0,0,0,2.32,0,0,0,15.5,0,0,0
