stage,blastomeres,epidermis,eye,mucous,periderm
  3-4,51.45,0,0,0,0
  5-6,6.67,0,0,0,0
 24-34,0,0.64,0,0,10.28
 72-82,0,0,0,1.69,0
 84-94,0,0,0,1.21,0
120,0,9.48,8.15,0,0
