stage,eye,neural,olfactory,periderm,spinal.cord
 36-46,0,0,35.6,0,0
 72-82,0,2.65,49.72,0,0
 84-94,0,23.72,13.85,0,0.93
 96-106,0.77,0,302.99,0,0.9
108-118,0,4.14,251.37,0.66,0
