stage,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,pgc,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.24,4.42,0,0,0,0,0,0,0
 14-21,0,0,0,3.31,3.3,0,11.12,0,0,0,1.4,4.28,1.95,16.56,0
 24-34,0,0,0,0.91,0,0.61,8.36,0,1.01,0.68,0,0,0.6,11.77,0
 36-46,0,6.65,0,4.52,0.88,0,8.6,0,3.18,1.34,0,0,0,8.33,0
 48-58,0,8.26,0,2.48,0.59,0,9.09,0,0,0,0,0,0,6.41,0
 60-70,0,0,0.88,2.21,0,0,4.57,0,0,0.91,0,0,0,2.06,0
 72-82,0,0.85,0,1.39,0,0,4.35,0,0,0,0,0,0,0,0.91
 84-94,0,1.71,0,0,0,0,2.14,0,0,0,0,0,0,0,0
 96-106,0,3.13,0,4.05,0,0,0,0,2.11,0,0,0,0.61,2.06,0
108-118,0,0,0,6.06,2.86,0,3.94,0,0,0,0,0,0,0.45,0
120,6.08,0,0,2.18,5.43,0,0,0,0,0,0,0,0,0,0
