stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.33,1041.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.01,0,0,0,0,0,0,0,0
  5-6,16.17,82.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.96,0,0,0,7.55,3.26,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,4.73,0,0,0,4.62,0,0,0,0,5.16,0,0,0,0,0,0,0,0,179.56,0,0,0,22.59,3.81,5.47,0,0,0,0,0,0,0
 14-21,0,0,0,5.92,77.54,0,0,0.88,0,0.95,0,1.69,0,0,0,7.45,0,0,0,0,0,7.73,0,0,0.98,0,11.74,0,0.86,0,0,0,0,0,0
 24-34,0,0,0,9.05,51.19,0,0,0,0,3.16,0,2.45,0,0,0,47.55,3.48,0,0,3.74,0.94,37.56,0,23.43,7.07,0,59.57,0,7.31,0,2.46,0,0,0,0
 36-46,0,0,0,0.72,6.34,0,0,0.81,0,1.14,2.03,3.55,0,0,0,34.72,2.76,0,9.1,1.81,0,77.04,0,37.18,2.29,0,88.15,0.68,2.8,0,0,0,0,0,0
 48-58,0,0,0,0.43,13.74,0,0,5.47,0,9.12,0,4.17,6.32,0,0,7.25,4.09,0,0.75,4.81,0,29.8,0,20.5,2.58,0,49.03,0,0.43,0,0.46,0,0,0,0
 60-70,0,0,0.86,0,17.78,0,0,2.84,0,5.53,0,15.31,10.4,0,0,10.46,2.18,0,1.9,14.91,0,9.81,0,32.88,3.05,0,80.67,0,5.08,0,2.57,0,0,0,0
 72-82,0,0,0.58,0,19.39,0,0,3.23,0,6.52,0,17.57,1.24,0,0,9.63,8.84,2.47,2.55,5.47,0,20.59,0,31.27,3.72,0,43.17,0,0.61,0,6.91,3.61,0.5,1.45,0
 84-94,0,0,11.44,0,44.81,5.42,1.54,6.27,0,9.43,0,39.44,4.19,0,0.67,24.17,6.11,2.93,6.4,1.33,0,28.69,0,26.65,6.32,0,132.1,0,2.21,0,0,12.24,0,0,0
 96-106,0,0,9.29,0,71.33,0,0,17.51,5.83,8.33,7.45,49.37,0,0,1.83,17.61,7.73,5.17,2.73,14.03,0,27.42,0,45.07,4.57,0,120.29,0,0.62,5.77,0,20.28,0,0.74,0
108-118,0,0,6.51,0,59.23,0.66,0.97,9.34,0,6.54,0,59.3,0,0,0.42,30.65,5.42,8.84,16.73,8.98,0,33.62,0.5,26.08,9.96,0,76.77,0,1.85,0,0,17.39,0,0,0
120,0,0,16.52,1.28,137.12,0,0,1.29,0,13.56,0,82.42,0,3.15,2.47,26.43,2.05,21.47,2.83,25.74,0,52.05,0,30.27,9.16,0,130.49,0,2.98,0,0,26.09,0,0,7.34
