stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,xanthophores
  3-4,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.24,107.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.92,17.78,0,8.07,0,0,0,38.35,0,0,0,0,0,13.99,0,0,0,0,0,0,0,0,0,0,247.11,5.05,0,0,65.41,30.57,0,0,0,0,0,0,0,0
 10-12,0,0,0,29.95,0,0,0,13.11,0,0,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0,212.97,4.99,0,0,73.81,42.19,0,0,0,0,0,0,0,0
 14-21,2.31,0,0,0,26.37,0,0,0,0,0,0,1.93,1,1.98,0,0,21.12,0,0,0,0,6.19,0,0,7.11,0,2.15,0,0,158.32,1.12,2.51,0,3.47,1.08,0,0,0
 24-34,0,0,0,0,7.95,7.59,0,2,0.68,0,0,4.18,1.28,3.71,0,0.6,39.71,0,0.63,0,3.26,16.98,0,1.79,81.57,0,10.73,0,0,325.61,0,0,0.83,0,0,6.87,0,0
 36-46,0,0,0,0,20.54,0,0,4.51,0,0,0,0,0.56,0,0,0,11.06,0,0.79,0,0,8.01,0,2.26,91.14,0,8.47,0.9,0,490.69,0,0,0,0,0,6.28,0,1.45
 48-58,0,0,0,0,14.35,0,0,4.17,0,3.76,0.71,0,0,2.69,0,0,41.41,0,0,0,4.02,14.78,0.38,0.45,79.17,0,4.97,2.18,0,365.46,0,0,0,0,0,7.56,0,0
 60-70,0,0,0,0,35.18,0,0,6.59,0,8.66,0,0,0.76,0.63,0,0,8.39,0,2.47,0,0,12.92,0,0.65,85.45,0,5.51,12.4,0,330.41,0,0,0,0,0,5.89,0,0
 72-82,0,0,0,0,30.51,0.72,0,3.84,4.88,4.09,0,0.96,4.78,3.23,0,0.55,13.8,0,4.27,0,1.26,21.94,0,0,62.21,0,2.1,0,0,235.57,0,0,0,0,0,0,3,0
 84-94,0,0,0,0,66.35,2.63,0,2.55,0,14.08,0,0,8.63,10.14,0,0,17.5,0.65,0.81,0,0,41.21,0,0,41.12,0,9.36,2.21,0,664.87,0,0,0,0,0,5.42,3.64,0
 96-106,0,0,0.6,0,104.15,5.53,0.97,7.24,0,6.73,0,3.08,15.77,0,0.61,0.78,19.07,0,2.01,9.43,5.53,92.85,0,0,55.07,0,22.39,4.46,0,473.81,0,0,0,0,0,0,2.32,0
108-118,0,0,0,0,105.43,2.56,0,10.24,0,12.68,0,2.83,18.96,0,0,1.12,31.62,0,0.5,3.18,2.11,40.05,0,0,52.89,0,10.96,6.65,0,534.27,0,0,0,0,0,3.57,2.35,0
120,0,0,0,0,141.88,0,0,8.55,0,13.02,0,5.57,5.57,0,0,0,16.67,0,0,0,6.68,34.3,0,0,61.18,1.62,26.41,4.85,0,432.18,0,0,0,0,0,0,1.1,0
