stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3.14,0,0,1.69,0,0,0,0,0.85,0,0,0,0,0,0,9.9,0,0,8.48,125.38,1.23,0,0,0.88,0,0,2.42,44.38,1,48.1,111.16,94.87,0,0,0,0,0
 24-34,0,2.92,0.62,0,10.08,0,0,0,2.01,0,5.07,0,0,0,0,0,17.96,0,0,3.2,697.45,0,3.46,0.67,0,0,0.85,0,0,3.33,0,9.26,150.73,0,0,0.65,0,0
 36-46,0,1.07,0,0,20.3,0,0,0,22.85,0.59,0,0,0,0,0,0,10.31,0,0,3.36,1216.09,0,0,0,0,0,0.56,0,0,0,0,0,195.15,0,0,0.66,0,0
 48-58,0,5.28,0,0,73.43,0.7,0,0,23.04,0,0,0,0,0,0,0,10.76,0,1.88,0.45,1297.74,0,0,1.15,0,0,0.43,0,0,0,0,0,135.99,0,0,0.39,0,0
 60-70,0,5.42,0,0,182.1,0,0.69,0,32.1,0,0.59,0,0,2.89,0,0,24.72,0,0,0.9,2132.16,6.67,0,9.84,0,0,5.42,0,0,4.15,0,0,134.68,0,0,0,0,7.32
 72-82,0,10.12,3.44,0,297.79,0,0,6.15,78.54,1.6,0,1.41,0,0,1.35,1.18,23.99,0,2.39,1.56,2201.49,0,0,1.42,0,6.83,1.2,0,0,0,0,0,86.5,0,0.99,0.81,0.96,6
 84-94,0,2.8,8.18,2.35,184.6,0,0,1.6,49.9,0.77,0,2.4,0,0,0,0,23.81,0,2.32,0.83,1488.76,0.85,0,0,0,6.64,9.04,0,0,0,0,0,77.34,0.9,1.03,1.43,0,0
 96-106,0,10.42,8,3.47,161.63,0,0,0,79.09,2.99,0,0,0,0,2.23,0,26.71,0,1.7,2.36,1339.65,0,0,2.61,0,7.06,11.05,0,0,0,0,0,36.08,0,0,3.88,1.96,2.89
108-118,2.39,18.33,0,0,150.03,0,0,0,90.12,0,0,1.29,0,1.43,0,0,20.83,1.6,3.25,1.93,2392.06,0,3.3,0.91,0,7.43,4.55,0,0,0,0,0,64.33,1.13,0,1.17,0,1.93
120,0,0,0,0,250.37,0,0,0,99.12,0,2.09,0,4.52,0,0,0,8.59,0,0,6.57,2638.46,0,1.57,0,0,11.51,0,0,0,9.01,0,0,11.39,0,0,0,0,0
