stage,epidermis,eye,mesenchyme,neural,olfactory,periderm,taste
 14-21,0,0,0,1.14,0,0,0
 24-34,0,0,0,1.1,1.82,0,0
 48-58,0,0,0,0,2.66,0,0
 72-82,0.65,2.18,1.24,1.8,8.82,0,0
 84-94,0,0,0,0,27.22,1.27,0
 96-106,0,0,0,0,423.36,0,0
108-118,0,0,0,0,206.8,0,1.33
