stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.82,91.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,5.44,0,6.74,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.07,4.64,0,0,6.87,0,0,4.94,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.25,0,0,0,1.28,0,0,0,0,0,0,0,0,0,12.45,0,15.13,0,0,0,0,2.1,2.05,0,0,0,0,0
 24-34,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,11.93,0,308.94,8.16,0,0,0,0,10.77,0,0,0,0,0
 36-46,0,0,0,18.5,0,0,0.82,0,0,2.42,0,0,0,0,6.69,0,0,3.03,0,0,46.27,0,330.38,0.8,0,0,0,0,9.99,0,0,0,0,0
 48-58,0,0,0,0,0,0,4.73,0,0,0,0.48,0,0,0,1.4,0,0,2.61,1.58,0.43,100.98,0,279.12,4.44,0,0,0.89,0,30.42,0,0,0,0,0
 60-70,0,0,0,0,0,0,100.21,0,0,0,0.74,5.54,0,0,2.99,0,7.12,23.93,13.44,0,173.29,0,307.79,4.95,0,0,0,0,28.25,0,3.29,0,0,0
 72-82,0,0,0,3.5,0,0,371.37,0,0.9,0,13.41,0,0,1.18,10.01,0,0,48.46,29.21,0,508.46,0,589.12,6.74,0,0.71,0.79,0,25.26,0,26.37,2.42,6.45,0
 84-94,0,0,0,4.23,0,0,211.98,0,1.55,0,10.83,0,0.98,0,14,0,0,19.28,32.18,1.63,356.15,0,608.07,19.91,0,0,1.01,0,11.39,0,11.13,0,2.65,0
 96-106,0,0,0.91,16.8,3.14,0,296.72,1.42,0.57,0,8.55,1.64,3.02,0.63,35.8,0.61,0,53.8,128.17,4.03,341.11,0,978.95,22.58,0,3.9,0,0,11.4,5.11,13.32,0.73,2.13,0
108-118,0,0,0,13.84,0,0.45,242.15,0,3.68,0,11.99,2.19,2.9,1.01,21.02,1.65,0,66.86,37.11,0.76,474.96,0,623.67,10.32,0,0,1.53,0,6.75,5.79,16.39,0,1.31,1.42
120,0,0,0,9,0,0,120.63,0,0,0,20.26,0,0,0,34.4,0,0,38.21,134.3,0,602.93,0,672.75,22.62,0,0,0,0,16.97,0,16.19,0,0,0
