stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,100.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.44,104.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.15,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.34,0,0,0,31.79,0,0,15.51,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,0,0,0,0,3.63,0,0,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0,0,75.25,0,0,0,19.9,0,0,6.03,0,3.68,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,9.25,4.32,1.63,0,1,0,0,1.19,0,0,0,0.9,0,0,0,0,2.89,0,0,3.92,56.74,2.58,0,0,0,0,1.03,0.91,3.62,2.93,1.08,6.88,23.46,0,0.87,0,0
 24-34,0,0.83,0,0.61,2.8,0,14.38,0,0.81,0.92,4.39,0,0,1,0,0.61,0,3.2,0,0,14.15,0,0,4.16,252.57,0.61,2.14,1.4,0,0,23.38,0,0,4.67,1.01,0.69,58.34,0,5.21,0,0
 36-46,0,0,0,0,1.27,0,32.88,0,0,0,6.04,0,0,0.69,0,0,0,0.95,0,0,17.06,0,0,1.83,327.58,4.26,4.72,0,0,0,12.82,0,0,9.4,0,0,77.65,0,8.64,0,0
 48-58,0,0,0,0,2.82,0,76.53,0,0,1.13,14.13,0.39,0,0.55,3.16,0.44,0.62,0,0,0,13.4,0,0.95,0.85,312.97,0,2.52,0.59,0,0,14.17,0,0,0,0,0,75.25,0,3.58,0,0
 60-70,0,0,0,0,1.63,0.92,231.26,0,0,1.86,10.89,0,0,0,0.81,0,1.86,0,0,0,12.34,0,0,0,286.49,0.66,2.6,0,0,0,10.55,0,0,0,0,0,73.08,0,9.18,0,2.8
 72-82,0,0,0,0,4.06,13.23,277.75,0.76,0,0,15.45,0.71,0,0,0,0.64,0,0,0,0,24.67,0.55,0.74,3.03,218.56,0,2.6,1.66,0,0.87,4.76,0,0,1.39,0,0,10.88,0,2.69,2.4,0
 84-94,0,0,0,0,1.51,1.3,200.83,0,1.37,0.67,20.5,4.66,0,0,3.38,3.35,0,0.69,0,0,21.53,0,1,3.03,132.81,0,9.69,0,0,0,26.9,0,0,1.05,0,0,22.42,0.56,7.07,0,1.89
 96-106,0,0,0,0,14.72,0,270.88,0,2.13,0,19.15,1.55,0,0,0.74,0.92,1.14,1.64,0,1.5,26.37,1.89,0,1.39,168.16,0,3.24,0.76,0,9.51,32.26,0,0,0,0,0,12.35,2.66,2.33,2.38,0
108-118,0,0,0,0,16.56,5.03,304.39,0,1.13,1.32,18.12,2.88,0,2.29,1.18,1.26,0.86,2.01,0.45,1.99,25.81,0,0,0.84,172.8,0,2.95,1.67,0,0,14.87,0,0,0.45,0,0,18.36,2.01,4.14,0,2
120,0,0,0,0,1.09,0,140.81,0,1.62,0,11.75,6.94,0,0,4.09,0,0,0,0,0,28.58,0,0,0,164.2,0,0,2.51,0,0,11.09,0,0,1.56,0,0,0,0,0,0,0
