stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,126.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.26,0,5.28,0,0,4.55,0,0,0,0,0,35.14,0,0,0,0,0,0,0,0,0,0,0,102.57,0,0,0,31.81,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.64,0,20.7,0,0,11.73,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,143.97,15.13,0,0,66.73,0,0,0,3.98,0,0,0,0,0,0,0,0
 14-21,0,0,2.09,51.64,6.14,8,0,0,0,3.52,0,0,0,0,0,0,0,0,0,14.63,0,0,9.86,74.81,3.84,1.37,1.09,4.12,0,0,28.21,0.82,0,13.77,39.7,0,0,4.08,0,0
 24-34,0,0.97,0.81,43.34,0.89,30.61,0,3.69,2.4,4.83,1.02,0,0,0,0.77,0,1.39,0.61,0,45.36,0.86,0,23.98,269.73,0,7.77,2.77,0,0,6.35,1.58,0,0.6,11.89,97.29,0,0,12.22,0,0
 36-46,0,0,0,11.53,0.76,39.56,25.28,21.04,14.49,7.23,0.57,0,1.39,0,0,0,0.56,0.62,0,77.68,0,2.99,32.91,275.8,0,0.68,0.57,0,0,11.31,0,0,1.14,0,92.19,0,0,2.63,0,0
 48-58,0,0,0,17.05,0,69.12,1.67,3.27,6.91,8.91,0.99,0,0,3.52,0,0,0.44,0,1.36,63.21,0,8.63,17.75,161.93,0.61,2.85,2.38,0,0.4,6.86,0,0,2.89,0,43.27,0,1.78,1.8,0,3.85
 60-70,0,0.65,0,14.24,0,92.82,0,2.31,4.1,12.28,0,0,0,1.06,0,0,0,0,0,69.86,0,1.3,4.88,139.09,0.58,0,0,0,0,13.66,0,0,0,0,16.67,2.49,0.65,2.44,0.85,0.69
 72-82,0,0,0,18.27,0.96,34.9,3.86,3.41,6.26,8.63,0,0,1.12,1.23,0,0,0.79,0,0,39.86,0.93,1.3,13.32,55.2,0,2.49,2.8,0,0,4.05,0,0,0,0,9.68,3.77,0,10.49,1.77,3.73
 84-94,0,1.19,0,23.13,1.3,50.56,0,7.34,6.37,8.41,0.67,0,0.97,2.15,3.49,0.76,0,0,0,48.93,0.62,1.73,9.96,51.96,0,0,2.4,0,0,15.46,0,0,0,0,8.24,1.99,0.77,15.52,0,3.87
 96-106,0,1.94,0,23.36,0,52.24,0,1.17,4.67,8.92,2.31,0,0,6.13,0.62,1.6,0,2.04,0,30.44,0.7,0,11.78,36.14,0,3.84,0.57,0,0,17.66,0,0,0,0,0,2.38,0,8.69,0.91,0.89
108-118,0,1.95,0,11.43,0,46.69,0.56,4.28,4,19.54,0.9,0,0,8.53,0.52,1.36,2.19,0,0,30.2,0,4.6,10.98,61.44,0,0,0,0,0,4.49,0,0,0,0,1.43,3.74,0,12.31,0,4.17
120,0,14.03,0,36.62,0,26.99,7.8,0,3.03,6.68,4.59,0,0,1.43,0,0,3.39,0,0,28.66,0,0,7.76,91.84,0,0,0,0,0,1.16,0,0,1.52,0,0,6.84,0,7.38,0,0
