stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,59.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.09,159.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.11,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,140.48,5.73,0,0,17.15,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.42,0,0,0,22.24,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.52,0.82,0,0,0,1.09,0,0,0,0,0,0,0,0,2.35,0,0,1.84,54.07,0,1.37,0,0,0,0,0,2.19,1.66,58.24,0,0,0,0,0
 24-34,0,0,0,2.71,0,2.3,0,0,3.7,0,0,0,0,0,0,0,2.57,0.66,0,0,0,672.19,0,12.93,0,0,0,0,0,0,0,257.07,0,0,1.66,0,0.9
 36-46,0,0,0,0,0,6.41,0,0,1.3,0,0,0,0,0,0,0,5.41,0,0,0,0,1636.29,0,22.34,0,0,0,9.42,0,0,0,345.56,0,0,5.97,0,0
 48-58,0,0,0,7.11,0,84,0,0,22.59,2.33,0,0,0,0,0,0,3.34,19.71,0,7.44,0.51,2116.46,1.94,12.81,0,0,0,2.92,0,0,0,247.63,0,0,4.13,0,1.28
 60-70,0,0,0,9.24,0,200.39,0,8.36,13.73,0.85,0,0.84,0,7.06,0,0,0,10.73,0.67,0,0.6,3508.27,0,11.04,0,0,0,2.75,0,0,0,288.24,0,0,9.35,0,7.79
 72-82,0,0,1.18,5.15,7.01,471.77,0.74,7.69,36.13,1.68,0,0.66,2.21,0,0,0,0,34.05,0,9.22,1.13,4047.27,0,16.07,0,0,0,1.68,1.65,0,0,267.84,7.41,0.51,1.82,2.65,17
 84-94,0,0,0,14.34,2.16,377.82,0.68,18,28.23,1.94,0,0,0.94,0,2.51,0,0,29.58,1.01,0.6,0,2674.87,0,8.34,1.95,0,0,15.16,0,0,0,157.81,1.79,0,0,4.08,1.21
 96-106,0,0,0,9.17,14.31,450.4,0,5.13,37.29,0.62,0,0,2.22,1.23,0,9.2,7.92,44.88,2.02,2.41,1.66,2380.54,0,13.02,2.02,0,0,4.23,0,0,0,83.87,0,0.88,7.77,0,0
108-118,0,0,1.57,13.1,2.36,409.6,0,1.1,42.49,0,0,0,3.49,1.59,0,3.11,0,22.92,0,1.29,0.64,3132.41,0,9.93,1.28,0,1.49,4.03,0,0,0,71.21,0.68,0.5,0,2.37,0
120,0,0,0,26.03,0,530.59,1.49,0,43.99,0,0,0,31.75,0,0,0,0,24.41,0,8.03,1.1,4497.53,0,22.95,0,0,4.79,1.41,0,0,0,79.33,0,0,15.84,0,5.5
