stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,7.44,0,0,0,0,0,0,0,544.02,0,0,2.16,0,0,13.55,0,0,0,0,11.68,1.73,0,1.07,0
 36-46,0,0,0,7.23,0,0,0,0,0,1000.74,0,0,3.1,0,0,41.65,0,0,0,0,3.1,3.08,0,0,0
 48-58,0,0,0,4.31,0,0,1.69,0,0,675.25,0,0,1.89,0,0,12.82,0,0,0,0,0,4.6,0,1.28,0
 60-70,0,0,0,17.95,0,0,5.59,0,0,893.03,0,0,12.15,0,0,30.23,0,0,0,0,1.52,5.55,0,0,0
 72-82,0,0.96,3.83,13.73,0,0,4.49,0,0,783.94,0,0,10.49,0,0,13.58,0,0.49,0,0,5.11,0,1.82,0,1.87
 84-94,0,0,0,16.94,0,0,0,0,0,828.23,0,0,6.65,0,0,1.7,0,0,0,0,4.63,0,0,0,0
 96-106,0,0.81,0,17.92,0,1.26,3.21,0.92,1.22,1041.88,0,0,12.73,0.88,0,9.64,18.93,0,0,0.97,1.52,0,0,3.21,1.3
108-118,0,1.62,4.2,4.34,3.42,0,0,0,0,945.14,0,0,4.13,0,7.21,22.33,1.38,0,0,0,0.44,0,0,0,0
120,0,0,18.31,21.05,0,0,29.92,0,0,2225.1,2.64,1.02,10.62,0,0,18.55,11.55,0,0,0,6.12,0,0,0,0
