stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,0,0,5.42,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.84,0,0,3.47,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.48,3.6,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.77,0,0,0.9,0,0,0.97,0,6.56,0,0,2.45,0,0
 24-34,0,0,0.61,0,5.81,0,0,0,0,0,5.71,0,0,0,0,0,1.47,0,0,0.78,123.62,0,0,0,0,0,0,0,29.62,0,0,55.26,0,0
 36-46,0,0,0.73,0,50.79,0,1.39,0,5.98,0,0.92,0,0,0,0,0,0.72,0,0,0,576.72,0,0.63,0,0,0,0,0.58,61.46,0,0,75.89,0,0
 48-58,0,0,2.37,1.97,183.47,6,0,0,18.01,0,4.43,0,0,0,0,3.25,5.33,0,0,0,760.55,0.91,0,0,0,0.76,0,0,156.32,0,0,34.6,0,0.63
 60-70,0,0,9.76,0,640.18,0,0,0,22.63,4.76,4.47,2.96,0,0,0,8.52,6.6,0,0,0.96,953.68,0,0,0,0,3.02,0,0,154.39,0,0,30.62,0,0
 72-82,0,2.5,15.42,1.96,829.51,0,0,1,23.45,0.53,5.13,0,0,0.92,0,0,18.31,0,0,0.6,884.4,0,5.92,0,0,0,0,0,103.34,1.21,0,66.1,3.64,8.31
 84-94,0,0,0.81,0,658.87,0,0,0,17.88,0,0,0,0.67,0,0,1.4,22.46,0,0,0,565.06,0,0,0,0,4,0,0,64.31,0,1.24,60.68,0,4.24
 96-106,0,0,2.83,31.32,460.37,0,0,0,29.39,0,4.3,1.36,0,0,0,0,6.11,2.07,1.02,1.56,487.89,0,1.71,0,1.96,1.94,0,0,40.48,0,0,71.65,0,0.79
108-118,0,0,11.66,1.1,533.52,0,0,0,25.68,0,2.72,0.99,5.15,0,0,0.97,11.93,0,1.72,0,569.88,0,2.93,0,0,1.23,0,0,21.98,0.89,0,53.66,2.47,1.19
120,0,0,6.11,0,616.98,0,0,0,12.18,0,15.57,0,0,0,3.49,0,8.08,0,0,0,849.53,0,0,0,0,3.58,0,0,41.97,0,0,39.02,1.99,0
