stage,eye,fin_epithelia,glial,mesenchyme,neural
 14-21,0,0,0,0,1.3
 24-34,0,0,0,0,1.08
 36-46,0,0,0,0,4
 48-58,0,0,0,0.74,13.15
 60-70,0,3.17,0,0,18.87
 72-82,0,0,0,0.53,14.27
 84-94,0,0,0,1.07,7.83
 96-106,1.08,0,1.99,0,22.08
108-118,0,0,2.71,0,7.29
120,0,0,0,0,21.51
